Wert,Jahr,Grossregion,Ausbildung,Berufliche Stellung,Geschlecht,Zentralwert und Quartilbereich
7294,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 3,Geschlecht - Total,Int. 25%
10836,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 3,Geschlecht - Total,Int. 75%
9336,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 3,Mann,Median
7592,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 3,Mann,Int. 25%
11203,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 3,Mann,Int. 75%
8171,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 3,Frau,Median
6671,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 3,Frau,Int. 25%
9905,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 3,Frau,Int. 75%
7583,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 4,Geschlecht - Total,Median
6058,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 4,Geschlecht - Total,Int. 25%
9256,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 4,Geschlecht - Total,Int. 75%
7875,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 4,Mann,Median
6190,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 4,Mann,Int. 25%
9585,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 4,Mann,Int. 75%
7042,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 4,Frau,Median
5841,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 4,Frau,Int. 25%
8548,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 4,Frau,Int. 75%
7561,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Ohne Kaderfunktion,Geschlecht - Total,Median
6146,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Ohne Kaderfunktion,Geschlecht - Total,Int. 25%
9334,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Ohne Kaderfunktion,Geschlecht - Total,Int. 75%
7909,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Ohne Kaderfunktion,Mann,Median
6500,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Ohne Kaderfunktion,Mann,Int. 25%
9730,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Ohne Kaderfunktion,Mann,Int. 75%
6927,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Ohne Kaderfunktion,Frau,Median
5722,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Ohne Kaderfunktion,Frau,Int. 25%
8418,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Ohne Kaderfunktion,Frau,Int. 75%
8356,2002,Schweiz,"Fachhochschule (FH), PH",Berufliche Stellung - Total,Geschlecht - Total,Median
6733,2002,Schweiz,"Fachhochschule (FH), PH",Berufliche Stellung - Total,Geschlecht - Total,Int. 25%
10449,2002,Schweiz,"Fachhochschule (FH), PH",Berufliche Stellung - Total,Geschlecht - Total,Int. 75%
8739,2002,Schweiz,"Fachhochschule (FH), PH",Berufliche Stellung - Total,Mann,Median
7100,2002,Schweiz,"Fachhochschule (FH), PH",Berufliche Stellung - Total,Mann,Int. 25%
10878,2002,Schweiz,"Fachhochschule (FH), PH",Berufliche Stellung - Total,Mann,Int. 75%
7019,2002,Schweiz,"Fachhochschule (FH), PH",Berufliche Stellung - Total,Frau,Median
5675,2002,Schweiz,"Fachhochschule (FH), PH",Berufliche Stellung - Total,Frau,Int. 25%
8520,2002,Schweiz,"Fachhochschule (FH), PH",Berufliche Stellung - Total,Frau,Int. 75%
9650,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 1+2,Geschlecht - Total,Median
7641,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 1+2,Geschlecht - Total,Int. 25%
12411,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 1+2,Geschlecht - Total,Int. 75%
10012,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 1+2,Mann,Median
7970,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 1+2,Mann,Int. 25%
12814,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 1+2,Mann,Int. 75%
7876,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 1+2,Frau,Median
6314,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 1+2,Frau,Int. 25%
9600,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 1+2,Frau,Int. 75%
8276,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 3,Geschlecht - Total,Median
6729,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 3,Geschlecht - Total,Int. 25%
10013,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 3,Geschlecht - Total,Int. 75%
8588,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 3,Mann,Median
7069,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 3,Mann,Int. 25%
10262,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 3,Mann,Int. 75%
7223,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 3,Frau,Median
5803,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 3,Frau,Int. 25%
8666,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 3,Frau,Int. 75%
7537,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 4,Geschlecht - Total,Median
6067,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 4,Geschlecht - Total,Int. 25%
9003,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 4,Geschlecht - Total,Int. 75%
7920,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 4,Mann,Median
6441,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 4,Mann,Int. 25%
9288,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 4,Mann,Int. 75%
6558,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 4,Frau,Median
5406,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 4,Frau,Int. 25%
7806,2002,Schweiz,"Fachhochschule (FH), PH",Stellung 4,Frau,Int. 75%
7374,2002,Schweiz,"Fachhochschule (FH), PH",Ohne Kaderfunktion,Geschlecht - Total,Median
6208,2002,Schweiz,"Fachhochschule (FH), PH",Ohne Kaderfunktion,Geschlecht - Total,Int. 25%
8750,2002,Schweiz,"Fachhochschule (FH), PH",Ohne Kaderfunktion,Geschlecht - Total,Int. 75%
7658,2002,Schweiz,"Fachhochschule (FH), PH",Ohne Kaderfunktion,Mann,Median
6542,2002,Schweiz,"Fachhochschule (FH), PH",Ohne Kaderfunktion,Mann,Int. 25%
9030,2002,Schweiz,"Fachhochschule (FH), PH",Ohne Kaderfunktion,Mann,Int. 75%
6552,2002,Schweiz,"Fachhochschule (FH), PH",Ohne Kaderfunktion,Frau,Median
5472,2002,Schweiz,"Fachhochschule (FH), PH",Ohne Kaderfunktion,Frau,Int. 25%
7718,2002,Schweiz,"Fachhochschule (FH), PH",Ohne Kaderfunktion,Frau,Int. 75%
7271,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Berufliche Stellung - Total,Geschlecht - Total,Median
5916,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Berufliche Stellung - Total,Geschlecht - Total,Int. 25%
8977,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Berufliche Stellung - Total,Geschlecht - Total,Int. 75%
7536,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Berufliche Stellung - Total,Mann,Median
6190,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Berufliche Stellung - Total,Mann,Int. 25%
9317,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Berufliche Stellung - Total,Mann,Int. 75%
6375,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Berufliche Stellung - Total,Frau,Median
5079,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Berufliche Stellung - Total,Frau,Int. 25%
7725,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Berufliche Stellung - Total,Frau,Int. 75%
8266,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 1+2,Geschlecht - Total,Median
6655,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 1+2,Geschlecht - Total,Int. 25%
10606,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 1+2,Geschlecht - Total,Int. 75%
8463,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 1+2,Mann,Median
6808,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 1+2,Mann,Int. 25%
10833,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 1+2,Mann,Int. 75%
7349,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 1+2,Frau,Median
5778,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 1+2,Frau,Int. 25%
9056,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 1+2,Frau,Int. 75%
7321,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 3,Geschlecht - Total,Median
6150,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 3,Geschlecht - Total,Int. 25%
8633,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 3,Geschlecht - Total,Int. 75%
7504,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 3,Mann,Median
6369,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 3,Mann,Int. 25%
8825,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 3,Mann,Int. 75%
6762,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 3,Frau,Median
5469,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 3,Frau,Int. 25%
7975,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 3,Frau,Int. 75%
6608,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 4,Geschlecht - Total,Median
5511,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 4,Geschlecht - Total,Int. 25%
7832,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 4,Geschlecht - Total,Int. 75%
6868,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 4,Mann,Median
5796,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 4,Mann,Int. 25%
8079,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 4,Mann,Int. 75%
5951,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 4,Frau,Median
4988,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 4,Frau,Int. 25%
7016,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Stellung 4,Frau,Int. 75%
6489,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Ohne Kaderfunktion,Geschlecht - Total,Median
5200,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Ohne Kaderfunktion,Geschlecht - Total,Int. 25%
7704,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Ohne Kaderfunktion,Geschlecht - Total,Int. 75%
6735,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Ohne Kaderfunktion,Mann,Median
5520,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Ohne Kaderfunktion,Mann,Int. 25%
8000,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Ohne Kaderfunktion,Mann,Int. 75%
5820,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Ohne Kaderfunktion,Frau,Median
4455,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Ohne Kaderfunktion,Frau,Int. 25%
7021,2002,Schweiz,"Höhere Berufsausbildung, Fachschule",Ohne Kaderfunktion,Frau,Int. 75%
5875,2002,Schweiz,Lehrerpatent,Berufliche Stellung - Total,Geschlecht - Total,Median
4549,2002,Schweiz,Lehrerpatent,Berufliche Stellung - Total,Geschlecht - Total,Int. 25%
7774,2002,Schweiz,Lehrerpatent,Berufliche Stellung - Total,Geschlecht - Total,Int. 75%
6180,2002,Schweiz,Lehrerpatent,Berufliche Stellung - Total,Mann,Median
4744,2002,Schweiz,Lehrerpatent,Berufliche Stellung - Total,Mann,Int. 25%
8234,2002,Schweiz,Lehrerpatent,Berufliche Stellung - Total,Mann,Int. 75%
5680,2002,Schweiz,Lehrerpatent,Berufliche Stellung - Total,Frau,Median
4393,2002,Schweiz,Lehrerpatent,Berufliche Stellung - Total,Frau,Int. 25%
7419,2002,Schweiz,Lehrerpatent,Berufliche Stellung - Total,Frau,Int. 75%
7500,2002,Schweiz,Lehrerpatent,Stellung 1+2,Geschlecht - Total,Median
5417,2002,Schweiz,Lehrerpatent,Stellung 1+2,Geschlecht - Total,Int. 25%
10452,2002,Schweiz,Lehrerpatent,Stellung 1+2,Geschlecht - Total,Int. 75%
8875,2002,Schweiz,Lehrerpatent,Stellung 1+2,Mann,Median
6435,2002,Schweiz,Lehrerpatent,Stellung 1+2,Mann,Int. 25%
11560,2002,Schweiz,Lehrerpatent,Stellung 1+2,Mann,Int. 75%
6427,2002,Schweiz,Lehrerpatent,Stellung 1+2,Frau,Median
4713,2002,Schweiz,Lehrerpatent,Stellung 1+2,Frau,Int. 25%
8498,2002,Schweiz,Lehrerpatent,Stellung 1+2,Frau,Int. 75%
6609,2002,Schweiz,Lehrerpatent,Stellung 3,Geschlecht - Total,Median
5195,2002,Schweiz,Lehrerpatent,Stellung 3,Geschlecht - Total,Int. 25%
8481,2002,Schweiz,Lehrerpatent,Stellung 3,Geschlecht - Total,Int. 75%
7035,2002,Schweiz,Lehrerpatent,Stellung 3,Mann,Median
5443,2002,Schweiz,Lehrerpatent,Stellung 3,Mann,Int. 25%
8970,2002,Schweiz,Lehrerpatent,Stellung 3,Mann,Int. 75%
6229,2002,Schweiz,Lehrerpatent,Stellung 3,Frau,Median
4939,2002,Schweiz,Lehrerpatent,Stellung 3,Frau,Int. 25%
8107,2002,Schweiz,Lehrerpatent,Stellung 3,Frau,Int. 75%
5877,2002,Schweiz,Lehrerpatent,Stellung 4,Geschlecht - Total,Median
4706,2002,Schweiz,Lehrerpatent,Stellung 4,Geschlecht - Total,Int. 25%
7280,2002,Schweiz,Lehrerpatent,Stellung 4,Geschlecht - Total,Int. 75%
6067,2002,Schweiz,Lehrerpatent,Stellung 4,Mann,Median
4711,2002,Schweiz,Lehrerpatent,Stellung 4,Mann,Int. 25%
7933,2002,Schweiz,Lehrerpatent,Stellung 4,Mann,Int. 75%
5778,2002,Schweiz,Lehrerpatent,Stellung 4,Frau,Median
4608,2002,Schweiz,Lehrerpatent,Stellung 4,Frau,Int. 25%
7043,2002,Schweiz,Lehrerpatent,Stellung 4,Frau,Int. 75%
5464,2002,Schweiz,Lehrerpatent,Ohne Kaderfunktion,Geschlecht - Total,Median
4267,2002,Schweiz,Lehrerpatent,Ohne Kaderfunktion,Geschlecht - Total,Int. 25%
7129,2002,Schweiz,Lehrerpatent,Ohne Kaderfunktion,Geschlecht - Total,Int. 75%
5519,2002,Schweiz,Lehrerpatent,Ohne Kaderfunktion,Mann,Median
4367,2002,Schweiz,Lehrerpatent,Ohne Kaderfunktion,Mann,Int. 25%
7200,2002,Schweiz,Lehrerpatent,Ohne Kaderfunktion,Mann,Int. 75%
5400,2002,Schweiz,Lehrerpatent,Ohne Kaderfunktion,Frau,Median
4134,2002,Schweiz,Lehrerpatent,Ohne Kaderfunktion,Frau,Int. 25%
7076,2002,Schweiz,Lehrerpatent,Ohne Kaderfunktion,Frau,Int. 75%
6047,2002,Schweiz,Matura,Berufliche Stellung - Total,Geschlecht - Total,Median
4633,2002,Schweiz,Matura,Berufliche Stellung - Total,Geschlecht - Total,Int. 25%
8084,2002,Schweiz,Matura,Berufliche Stellung - Total,Geschlecht - Total,Int. 75%
6745,2002,Schweiz,Matura,Berufliche Stellung - Total,Mann,Median
5100,2002,Schweiz,Matura,Berufliche Stellung - Total,Mann,Int. 25%
9317,2002,Schweiz,Matura,Berufliche Stellung - Total,Mann,Int. 75%
5450,2002,Schweiz,Matura,Berufliche Stellung - Total,Frau,Median
4300,2002,Schweiz,Matura,Berufliche Stellung - Total,Frau,Int. 25%
6984,2002,Schweiz,Matura,Berufliche Stellung - Total,Frau,Int. 75%
8613,2002,Schweiz,Matura,Stellung 1+2,Geschlecht - Total,Median
6209,2002,Schweiz,Matura,Stellung 1+2,Geschlecht - Total,Int. 25%
12779,2002,Schweiz,Matura,Stellung 1+2,Geschlecht - Total,Int. 75%
9642,2002,Schweiz,Matura,Stellung 1+2,Mann,Median
7042,2002,Schweiz,Matura,Stellung 1+2,Mann,Int. 25%
14128,2002,Schweiz,Matura,Stellung 1+2,Mann,Int. 75%
6672,2002,Schweiz,Matura,Stellung 1+2,Frau,Median
5159,2002,Schweiz,Matura,Stellung 1+2,Frau,Int. 25%
8950,2002,Schweiz,Matura,Stellung 1+2,Frau,Int. 75%
6801,2002,Schweiz,Matura,Stellung 3,Geschlecht - Total,Median
5200,2002,Schweiz,Matura,Stellung 3,Geschlecht - Total,Int. 25%
9016,2002,Schweiz,Matura,Stellung 3,Geschlecht - Total,Int. 75%
7730,2002,Schweiz,Matura,Stellung 3,Mann,Median
5777,2002,Schweiz,Matura,Stellung 3,Mann,Int. 25%
10285,2002,Schweiz,Matura,Stellung 3,Mann,Int. 75%
6046,2002,Schweiz,Matura,Stellung 3,Frau,Median
4794,2002,Schweiz,Matura,Stellung 3,Frau,Int. 25%
7708,2002,Schweiz,Matura,Stellung 3,Frau,Int. 75%
5888,2002,Schweiz,Matura,Stellung 4,Geschlecht - Total,Median
4644,2002,Schweiz,Matura,Stellung 4,Geschlecht - Total,Int. 25%
7463,2002,Schweiz,Matura,Stellung 4,Geschlecht - Total,Int. 75%
6194,2002,Schweiz,Matura,Stellung 4,Mann,Median
5024,2002,Schweiz,Matura,Stellung 4,Mann,Int. 25%
7984,2002,Schweiz,Matura,Stellung 4,Mann,Int. 75%
5433,2002,Schweiz,Matura,Stellung 4,Frau,Median
4333,2002,Schweiz,Matura,Stellung 4,Frau,Int. 25%
7120,2002,Schweiz,Matura,Stellung 4,Frau,Int. 75%
5446,2002,Schweiz,Matura,Ohne Kaderfunktion,Geschlecht - Total,Median
4304,2002,Schweiz,Matura,Ohne Kaderfunktion,Geschlecht - Total,Int. 25%
6953,2002,Schweiz,Matura,Ohne Kaderfunktion,Geschlecht - Total,Int. 75%
5785,2002,Schweiz,Matura,Ohne Kaderfunktion,Mann,Median
4612,2002,Schweiz,Matura,Ohne Kaderfunktion,Mann,Int. 25%
7492,2002,Schweiz,Matura,Ohne Kaderfunktion,Mann,Int. 75%
5157,2002,Schweiz,Matura,Ohne Kaderfunktion,Frau,Median
4055,2002,Schweiz,Matura,Ohne Kaderfunktion,Frau,Int. 25%
6513,2002,Schweiz,Matura,Ohne Kaderfunktion,Frau,Int. 75%
5371,2002,Schweiz,Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Geschlecht - Total,Median
4437,2002,Schweiz,Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Geschlecht - Total,Int. 25%
6500,2002,Schweiz,Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Geschlecht - Total,Int. 75%
5655,2002,Schweiz,Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Mann,Median
4785,2002,Schweiz,Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Mann,Int. 25%
6825,2002,Schweiz,Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Mann,Int. 75%
4813,2002,Schweiz,Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Frau,Median
3949,2002,Schweiz,Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Frau,Int. 25%
5882,2002,Schweiz,Abgeschlossene Berufsausbildung,Berufliche Stellung - Total,Frau,Int. 75%
7011,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 1+2,Geschlecht - Total,Median
5542,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 1+2,Geschlecht - Total,Int. 25%
9258,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 1+2,Geschlecht - Total,Int. 75%
7449,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 1+2,Mann,Median
5883,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 1+2,Mann,Int. 25%
9806,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 1+2,Mann,Int. 75%
5778,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 1+2,Frau,Median
4691,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 1+2,Frau,Int. 25%
7286,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 1+2,Frau,Int. 75%
5975,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 3,Geschlecht - Total,Median
4857,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 3,Geschlecht - Total,Int. 25%
7304,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 3,Geschlecht - Total,Int. 75%
6344,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 3,Mann,Median
5285,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 3,Mann,Int. 25%
7694,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 3,Mann,Int. 75%
5200,2002,Schweiz,Abgeschlossene Berufsausbildung,Stellung 3,Frau,Median
