Wert,Jahr,Grossregion,Tätigkeit,Anforderungsniveau des Arbeitsplatzes,Geschlecht
8927,2002,Schweiz,Rechnungs- und Personalwesen,Niveau 1+2,Mann
6420,2002,Schweiz,Rechnungs- und Personalwesen,Niveau 1+2,Frau
5815,2002,Schweiz,Rechnungs- und Personalwesen,Niveau 3,Geschlecht - Total
6495,2002,Schweiz,Rechnungs- und Personalwesen,Niveau 3,Mann
5550,2002,Schweiz,Rechnungs- und Personalwesen,Niveau 3,Frau
5055,2002,Schweiz,Rechnungs- und Personalwesen,Niveau 4,Geschlecht - Total
5304,2002,Schweiz,Rechnungs- und Personalwesen,Niveau 4,Mann
5000,2002,Schweiz,Rechnungs- und Personalwesen,Niveau 4,Frau
5531,2002,Schweiz,Sekretariats- und Kanzleiarbeiten,Anforderungsniveau - Total,Geschlecht - Total
6275,2002,Schweiz,Sekretariats- und Kanzleiarbeiten,Anforderungsniveau - Total,Mann
5412,2002,Schweiz,Sekretariats- und Kanzleiarbeiten,Anforderungsniveau - Total,Frau
6067,2002,Schweiz,Sekretariats- und Kanzleiarbeiten,Niveau 1+2,Geschlecht - Total
7936,2002,Schweiz,Sekretariats- und Kanzleiarbeiten,Niveau 1+2,Mann
5727,2002,Schweiz,Sekretariats- und Kanzleiarbeiten,Niveau 1+2,Frau
5534,2002,Schweiz,Sekretariats- und Kanzleiarbeiten,Niveau 3,Geschlecht - Total
6132,2002,Schweiz,Sekretariats- und Kanzleiarbeiten,Niveau 3,Mann
5417,2002,Schweiz,Sekretariats- und Kanzleiarbeiten,Niveau 3,Frau
5030,2002,Schweiz,Sekretariats- und Kanzleiarbeiten,Niveau 4,Geschlecht - Total
5257,2002,Schweiz,Sekretariats- und Kanzleiarbeiten,Niveau 4,Mann
4968,2002,Schweiz,Sekretariats- und Kanzleiarbeiten,Niveau 4,Frau
5671,2002,Schweiz,Andere kaufmännisch-administrative Tätigkeiten,Anforderungsniveau - Total,Geschlecht - Total
6691,2002,Schweiz,Andere kaufmännisch-administrative Tätigkeiten,Anforderungsniveau - Total,Mann
5172,2002,Schweiz,Andere kaufmännisch-administrative Tätigkeiten,Anforderungsniveau - Total,Frau
6874,2002,Schweiz,Andere kaufmännisch-administrative Tätigkeiten,Niveau 1+2,Geschlecht - Total
7790,2002,Schweiz,Andere kaufmännisch-administrative Tätigkeiten,Niveau 1+2,Mann
5866,2002,Schweiz,Andere kaufmännisch-administrative Tätigkeiten,Niveau 1+2,Frau
5360,2002,Schweiz,Andere kaufmännisch-administrative Tätigkeiten,Niveau 3,Geschlecht - Total
6098,2002,Schweiz,Andere kaufmännisch-administrative Tätigkeiten,Niveau 3,Mann
5070,2002,Schweiz,Andere kaufmännisch-administrative Tätigkeiten,Niveau 3,Frau
4897,2002,Schweiz,Andere kaufmännisch-administrative Tätigkeiten,Niveau 4,Geschlecht - Total
5404,2002,Schweiz,Andere kaufmännisch-administrative Tätigkeiten,Niveau 4,Mann
4769,2002,Schweiz,Andere kaufmännisch-administrative Tätigkeiten,Niveau 4,Frau
6797,2002,Schweiz,"Logistik, Stabsaufgaben",Anforderungsniveau - Total,Geschlecht - Total
7042,2002,Schweiz,"Logistik, Stabsaufgaben",Anforderungsniveau - Total,Mann
5925,2002,Schweiz,"Logistik, Stabsaufgaben",Anforderungsniveau - Total,Frau
8125,2002,Schweiz,"Logistik, Stabsaufgaben",Niveau 1+2,Geschlecht - Total
8223,2002,Schweiz,"Logistik, Stabsaufgaben",Niveau 1+2,Mann
7521,2002,Schweiz,"Logistik, Stabsaufgaben",Niveau 1+2,Frau
6350,2002,Schweiz,"Logistik, Stabsaufgaben",Niveau 3,Geschlecht - Total
6496,2002,Schweiz,"Logistik, Stabsaufgaben",Niveau 3,Mann
5824,2002,Schweiz,"Logistik, Stabsaufgaben",Niveau 3,Frau
4959,2002,Schweiz,"Logistik, Stabsaufgaben",Niveau 4,Geschlecht - Total
5118,2002,Schweiz,"Logistik, Stabsaufgaben",Niveau 4,Mann
4654,2002,Schweiz,"Logistik, Stabsaufgaben",Niveau 4,Frau
7709,2002,Schweiz,"Begutachten, beraten, beurkunden",Anforderungsniveau - Total,Geschlecht - Total
8696,2002,Schweiz,"Begutachten, beraten, beurkunden",Anforderungsniveau - Total,Mann
6283,2002,Schweiz,"Begutachten, beraten, beurkunden",Anforderungsniveau - Total,Frau
9176,2002,Schweiz,"Begutachten, beraten, beurkunden",Niveau 1+2,Geschlecht - Total
9671,2002,Schweiz,"Begutachten, beraten, beurkunden",Niveau 1+2,Mann
7553,2002,Schweiz,"Begutachten, beraten, beurkunden",Niveau 1+2,Frau
6190,2002,Schweiz,"Begutachten, beraten, beurkunden",Niveau 3,Geschlecht - Total
6767,2002,Schweiz,"Begutachten, beraten, beurkunden",Niveau 3,Mann
5719,2002,Schweiz,"Begutachten, beraten, beurkunden",Niveau 3,Frau
5039,2002,Schweiz,"Begutachten, beraten, beurkunden",Niveau 4,Geschlecht - Total
5275,2002,Schweiz,"Begutachten, beraten, beurkunden",Niveau 4,Mann
4902,2002,Schweiz,"Begutachten, beraten, beurkunden",Niveau 4,Frau
6958,2002,Schweiz,(Ver-)Kauf von Grundstoffen und Investitionsgütern,Anforderungsniveau - Total,Geschlecht - Total
7340,2002,Schweiz,(Ver-)Kauf von Grundstoffen und Investitionsgütern,Anforderungsniveau - Total,Mann
5417,2002,Schweiz,(Ver-)Kauf von Grundstoffen und Investitionsgütern,Anforderungsniveau - Total,Frau
7979,2002,Schweiz,(Ver-)Kauf von Grundstoffen und Investitionsgütern,Niveau 1+2,Geschlecht - Total
8185,2002,Schweiz,(Ver-)Kauf von Grundstoffen und Investitionsgütern,Niveau 1+2,Mann
6340,2002,Schweiz,(Ver-)Kauf von Grundstoffen und Investitionsgütern,Niveau 1+2,Frau
6076,2002,Schweiz,(Ver-)Kauf von Grundstoffen und Investitionsgütern,Niveau 3,Geschlecht - Total
6452,2002,Schweiz,(Ver-)Kauf von Grundstoffen und Investitionsgütern,Niveau 3,Mann
5231,2002,Schweiz,(Ver-)Kauf von Grundstoffen und Investitionsgütern,Niveau 3,Frau
4412,2002,Schweiz,(Ver-)Kauf von Grundstoffen und Investitionsgütern,Niveau 4,Geschlecht - Total
4686,2002,Schweiz,(Ver-)Kauf von Grundstoffen und Investitionsgütern,Niveau 4,Mann
4031,2002,Schweiz,(Ver-)Kauf von Grundstoffen und Investitionsgütern,Niveau 4,Frau
4098,2002,Schweiz,Verkauf v. Konsumgütern u. Dienstleistungen im Detailhandel,Anforderungsniveau - Total,Geschlecht - Total
5165,2002,Schweiz,Verkauf v. Konsumgütern u. Dienstleistungen im Detailhandel,Anforderungsniveau - Total,Mann
3831,2002,Schweiz,Verkauf v. Konsumgütern u. Dienstleistungen im Detailhandel,Anforderungsniveau - Total,Frau
5659,2002,Schweiz,Verkauf v. Konsumgütern u. Dienstleistungen im Detailhandel,Niveau 1+2,Geschlecht - Total
6646,2002,Schweiz,Verkauf v. Konsumgütern u. Dienstleistungen im Detailhandel,Niveau 1+2,Mann
4388,2002,Schweiz,Verkauf v. Konsumgütern u. Dienstleistungen im Detailhandel,Niveau 1+2,Frau
4109,2002,Schweiz,Verkauf v. Konsumgütern u. Dienstleistungen im Detailhandel,Niveau 3,Geschlecht - Total
4981,2002,Schweiz,Verkauf v. Konsumgütern u. Dienstleistungen im Detailhandel,Niveau 3,Mann
3848,2002,Schweiz,Verkauf v. Konsumgütern u. Dienstleistungen im Detailhandel,Niveau 3,Frau
3772,2002,Schweiz,Verkauf v. Konsumgütern u. Dienstleistungen im Detailhandel,Niveau 4,Geschlecht - Total
4069,2002,Schweiz,Verkauf v. Konsumgütern u. Dienstleistungen im Detailhandel,Niveau 4,Mann
3722,2002,Schweiz,Verkauf v. Konsumgütern u. Dienstleistungen im Detailhandel,Niveau 4,Frau
7846,2002,Schweiz,Forschung und Entwicklung,Anforderungsniveau - Total,Geschlecht - Total
8101,2002,Schweiz,Forschung und Entwicklung,Anforderungsniveau - Total,Mann
6882,2002,Schweiz,Forschung und Entwicklung,Anforderungsniveau - Total,Frau
8750,2002,Schweiz,Forschung und Entwicklung,Niveau 1+2,Geschlecht - Total
8800,2002,Schweiz,Forschung und Entwicklung,Niveau 1+2,Mann
8267,2002,Schweiz,Forschung und Entwicklung,Niveau 1+2,Frau
6819,2002,Schweiz,Forschung und Entwicklung,Niveau 3,Geschlecht - Total
6991,2002,Schweiz,Forschung und Entwicklung,Niveau 3,Mann
6423,2002,Schweiz,Forschung und Entwicklung,Niveau 3,Frau
5592,2002,Schweiz,Forschung und Entwicklung,Niveau 4,Geschlecht - Total
5958,2002,Schweiz,Forschung und Entwicklung,Niveau 4,Mann
5147,2002,Schweiz,Forschung und Entwicklung,Niveau 4,Frau
7854,2002,Schweiz,"Analysieren, programmieren, Operating",Anforderungsniveau - Total,Geschlecht - Total
8087,2002,Schweiz,"Analysieren, programmieren, Operating",Anforderungsniveau - Total,Mann
6419,2002,Schweiz,"Analysieren, programmieren, Operating",Anforderungsniveau - Total,Frau
8827,2002,Schweiz,"Analysieren, programmieren, Operating",Niveau 1+2,Geschlecht - Total
8913,2002,Schweiz,"Analysieren, programmieren, Operating",Niveau 1+2,Mann
7938,2002,Schweiz,"Analysieren, programmieren, Operating",Niveau 1+2,Frau
6825,2002,Schweiz,"Analysieren, programmieren, Operating",Niveau 3,Geschlecht - Total
7032,2002,Schweiz,"Analysieren, programmieren, Operating",Niveau 3,Mann
5954,2002,Schweiz,"Analysieren, programmieren, Operating",Niveau 3,Frau
5417,2002,Schweiz,"Analysieren, programmieren, Operating",Niveau 4,Geschlecht - Total
5979,2002,Schweiz,"Analysieren, programmieren, Operating",Niveau 4,Mann
5038,2002,Schweiz,"Analysieren, programmieren, Operating",Niveau 4,Frau
6663,2002,Schweiz,"Planen, konstruieren, zeichnen, gestalten",Anforderungsniveau - Total,Geschlecht - Total
6899,2002,Schweiz,"Planen, konstruieren, zeichnen, gestalten",Anforderungsniveau - Total,Mann
5221,2002,Schweiz,"Planen, konstruieren, zeichnen, gestalten",Anforderungsniveau - Total,Frau
7276,2002,Schweiz,"Planen, konstruieren, zeichnen, gestalten",Niveau 1+2,Geschlecht - Total
7419,2002,Schweiz,"Planen, konstruieren, zeichnen, gestalten",Niveau 1+2,Mann
5735,2002,Schweiz,"Planen, konstruieren, zeichnen, gestalten",Niveau 1+2,Frau
5850,2002,Schweiz,"Planen, konstruieren, zeichnen, gestalten",Niveau 3,Geschlecht - Total
6077,2002,Schweiz,"Planen, konstruieren, zeichnen, gestalten",Niveau 3,Mann
5036,2002,Schweiz,"Planen, konstruieren, zeichnen, gestalten",Niveau 3,Frau
5000,2002,Schweiz,"Planen, konstruieren, zeichnen, gestalten",Niveau 4,Geschlecht - Total
5149,2002,Schweiz,"Planen, konstruieren, zeichnen, gestalten",Niveau 4,Mann
4708,2002,Schweiz,"Planen, konstruieren, zeichnen, gestalten",Niveau 4,Frau
4907,2002,Schweiz,"Transport von Personen, Waren und Nachrichten",Anforderungsniveau - Total,Geschlecht - Total
4991,2002,Schweiz,"Transport von Personen, Waren und Nachrichten",Anforderungsniveau - Total,Mann
4199,2002,Schweiz,"Transport von Personen, Waren und Nachrichten",Anforderungsniveau - Total,Frau
5404,2002,Schweiz,"Transport von Personen, Waren und Nachrichten",Niveau 1+2,Geschlecht - Total
5424,2002,Schweiz,"Transport von Personen, Waren und Nachrichten",Niveau 1+2,Mann
5098,2002,Schweiz,"Transport von Personen, Waren und Nachrichten",Niveau 1+2,Frau
5162,2002,Schweiz,"Transport von Personen, Waren und Nachrichten",Niveau 3,Geschlecht - Total
5214,2002,Schweiz,"Transport von Personen, Waren und Nachrichten",Niveau 3,Mann
4545,2002,Schweiz,"Transport von Personen, Waren und Nachrichten",Niveau 3,Frau
4514,2002,Schweiz,"Transport von Personen, Waren und Nachrichten",Niveau 4,Geschlecht - Total
4637,2002,Schweiz,"Transport von Personen, Waren und Nachrichten",Niveau 4,Mann
3923,2002,Schweiz,"Transport von Personen, Waren und Nachrichten",Niveau 4,Frau
5728,2002,Schweiz,"Sichern, bewachen",Anforderungsniveau - Total,Geschlecht - Total
6036,2002,Schweiz,"Sichern, bewachen",Anforderungsniveau - Total,Mann
4834,2002,Schweiz,"Sichern, bewachen",Anforderungsniveau - Total,Frau
7965,2002,Schweiz,"Sichern, bewachen",Niveau 1+2,Geschlecht - Total
8231,2002,Schweiz,"Sichern, bewachen",Niveau 1+2,Mann
5517,2002,Schweiz,"Sichern, bewachen",Niveau 1+2,Frau
5762,2002,Schweiz,"Sichern, bewachen",Niveau 3,Geschlecht - Total
5950,2002,Schweiz,"Sichern, bewachen",Niveau 3,Mann
5067,2002,Schweiz,"Sichern, bewachen",Niveau 3,Frau
4460,2002,Schweiz,"Sichern, bewachen",Niveau 4,Geschlecht - Total
4578,2002,Schweiz,"Sichern, bewachen",Niveau 4,Mann
4068,2002,Schweiz,"Sichern, bewachen",Niveau 4,Frau
5473,2002,Schweiz,"Medizinische, pflegerische und soziale Tätigkeiten",Anforderungsniveau - Total,Geschlecht - Total
6219,2002,Schweiz,"Medizinische, pflegerische und soziale Tätigkeiten",Anforderungsniveau - Total,Mann
5318,2002,Schweiz,"Medizinische, pflegerische und soziale Tätigkeiten",Anforderungsniveau - Total,Frau
6386,2002,Schweiz,"Medizinische, pflegerische und soziale Tätigkeiten",Niveau 1+2,Geschlecht - Total
7100,2002,Schweiz,"Medizinische, pflegerische und soziale Tätigkeiten",Niveau 1+2,Mann
6117,2002,Schweiz,"Medizinische, pflegerische und soziale Tätigkeiten",Niveau 1+2,Frau
5329,2002,Schweiz,"Medizinische, pflegerische und soziale Tätigkeiten",Niveau 3,Geschlecht - Total
5740,2002,Schweiz,"Medizinische, pflegerische und soziale Tätigkeiten",Niveau 3,Mann
5256,2002,Schweiz,"Medizinische, pflegerische und soziale Tätigkeiten",Niveau 3,Frau
4439,2002,Schweiz,"Medizinische, pflegerische und soziale Tätigkeiten",Niveau 4,Geschlecht - Total
4605,2002,Schweiz,"Medizinische, pflegerische und soziale Tätigkeiten",Niveau 4,Mann
4420,2002,Schweiz,"Medizinische, pflegerische und soziale Tätigkeiten",Niveau 4,Frau
3407,2002,Schweiz,Körper- und Kleiderpflege,Anforderungsniveau - Total,Geschlecht - Total
4000,2002,Schweiz,Körper- und Kleiderpflege,Anforderungsniveau - Total,Mann
3333,2002,Schweiz,Körper- und Kleiderpflege,Anforderungsniveau - Total,Frau
3810,2002,Schweiz,Körper- und Kleiderpflege,Niveau 1+2,Geschlecht - Total
5334,2002,Schweiz,Körper- und Kleiderpflege,Niveau 1+2,Mann
3653,2002,Schweiz,Körper- und Kleiderpflege,Niveau 1+2,Frau
3228,2002,Schweiz,Körper- und Kleiderpflege,Niveau 3,Geschlecht - Total
3846,2002,Schweiz,Körper- und Kleiderpflege,Niveau 3,Mann
3193,2002,Schweiz,Körper- und Kleiderpflege,Niveau 3,Frau
3446,2002,Schweiz,Körper- und Kleiderpflege,Niveau 4,Geschlecht - Total
3619,2002,Schweiz,Körper- und Kleiderpflege,Niveau 4,Mann
3380,2002,Schweiz,Körper- und Kleiderpflege,Niveau 4,Frau
3760,2002,Schweiz,Reinigung und öffentliche Hygiene,Anforderungsniveau - Total,Geschlecht - Total
4190,2002,Schweiz,Reinigung und öffentliche Hygiene,Anforderungsniveau - Total,Mann
3538,2002,Schweiz,Reinigung und öffentliche Hygiene,Anforderungsniveau - Total,Frau
5101,2002,Schweiz,Reinigung und öffentliche Hygiene,Niveau 1+2,Geschlecht - Total
5423,2002,Schweiz,Reinigung und öffentliche Hygiene,Niveau 1+2,Mann
4286,2002,Schweiz,Reinigung und öffentliche Hygiene,Niveau 1+2,Frau
4160,2002,Schweiz,Reinigung und öffentliche Hygiene,Niveau 3,Geschlecht - Total
4676,2002,Schweiz,Reinigung und öffentliche Hygiene,Niveau 3,Mann
3542,2002,Schweiz,Reinigung und öffentliche Hygiene,Niveau 3,Frau
3621,2002,Schweiz,Reinigung und öffentliche Hygiene,Niveau 4,Geschlecht - Total
3923,2002,Schweiz,Reinigung und öffentliche Hygiene,Niveau 4,Mann
3512,2002,Schweiz,Reinigung und öffentliche Hygiene,Niveau 4,Frau
6777,2002,Schweiz,Pädagogische Tätigkeiten,Anforderungsniveau - Total,Geschlecht - Total
7195,2002,Schweiz,Pädagogische Tätigkeiten,Anforderungsniveau - Total,Mann
6378,2002,Schweiz,Pädagogische Tätigkeiten,Anforderungsniveau - Total,Frau
7488,2002,Schweiz,Pädagogische Tätigkeiten,Niveau 1+2,Geschlecht - Total
7959,2002,Schweiz,Pädagogische Tätigkeiten,Niveau 1+2,Mann
6916,2002,Schweiz,Pädagogische Tätigkeiten,Niveau 1+2,Frau
6058,2002,Schweiz,Pädagogische Tätigkeiten,Niveau 3,Geschlecht - Total
6092,2002,Schweiz,Pädagogische Tätigkeiten,Niveau 3,Mann
5952,2002,Schweiz,Pädagogische Tätigkeiten,Niveau 3,Frau
4195,2002,Schweiz,Pädagogische Tätigkeiten,Niveau 4,Geschlecht - Total
4664,2002,Schweiz,Pädagogische Tätigkeiten,Niveau 4,Mann
4098,2002,Schweiz,Pädagogische Tätigkeiten,Niveau 4,Frau
3714,2002,Schweiz,Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Anforderungsniveau - Total,Geschlecht - Total
3921,2002,Schweiz,Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Anforderungsniveau - Total,Mann
3611,2002,Schweiz,Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Anforderungsniveau - Total,Frau
4635,2002,Schweiz,Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 1+2,Geschlecht - Total
5069,2002,Schweiz,Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 1+2,Mann
4192,2002,Schweiz,Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 1+2,Frau
3858,2002,Schweiz,Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 3,Geschlecht - Total
4079,2002,Schweiz,Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 3,Mann
3687,2002,Schweiz,Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 3,Frau
3456,2002,Schweiz,Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 4,Geschlecht - Total
3411,2002,Schweiz,Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 4,Mann
3467,2002,Schweiz,Gastgewerbliche und hauswirtschaftliche Tätigkeiten,Niveau 4,Frau
