Wert,Geschlecht,Arbeitskanton,Erwerbsstatus,Aufenthaltsdauer,Quartal
5231.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2014Q2
5060.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2014Q3
4821.9,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2014Q4
4963.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2015Q1
5434.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2015Q2
5580.4,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2015Q3
5575.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2015Q4
5626.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2016Q1
5760.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2016Q2
5175.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2016Q3
160124.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2002Q2
161191.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2002Q3
162292.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2002Q4
163831.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2003Q1
164934.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2003Q2
166546.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2003Q3
167221,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2003Q4
168489.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2004Q1
173730.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2004Q2
171763.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2004Q3
172580.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2004Q4
174460.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2005Q1
174625.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2005Q2
173369.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2005Q3
176150.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2005Q4
178501.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2006Q1
182731.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2006Q2
188465.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2006Q3
192260.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2006Q4
196296.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2007Q1
201395,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2007Q2
204587.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2007Q3
206327.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2007Q4
209614.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2008Q1
213435.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2008Q2
214069.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2008Q3
214205,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2008Q4
215505.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2009Q1
218293.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2009Q2
217974.4,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2009Q3
219736.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2009Q4
222885.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2010Q1
227894.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2010Q2
229867.9,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2010Q3
232031,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2010Q4
235463,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2011Q1
241106,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2011Q2
246455,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2011Q3
248809.4,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2011Q4
252835.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2012Q1
257167.4,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2012Q2
262069.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2012Q3
264795.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2012Q4
265343,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2013Q1
272905.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2013Q2
277156.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2013Q3
278032,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2013Q4
280223.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2014Q1
284094.4,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2014Q2
287204.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2014Q3
291363.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2014Q4
293243,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2015Q1
295813.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2015Q2
297980.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2015Q3
301567.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2015Q4
303665.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2016Q1
305480.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2016Q2
308934.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,>=12 Monate,2016Q3
161222.7,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2002Q2
162436,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2002Q3
163279.8,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2002Q4
165186.7,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2003Q1
166837.5,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2003Q2
168463.2,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2003Q3
168311.4,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2003Q4
169927.7,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2004Q1
175483,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2004Q2
173334.3,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2004Q3
173501.9,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2004Q4
175757.9,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2005Q1
176195.4,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2005Q2
174984.1,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2005Q3
177407.1,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2005Q4
180129.6,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2006Q1
184726.1,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2006Q2
190531.8,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2006Q3
193675.5,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2006Q4
198178,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2007Q1
203563.1,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2007Q2
206707.6,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2007Q3
207609,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2007Q4
211241.6,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2008Q1
215430.1,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2008Q2
216080.5,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2008Q3
215376.3,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2008Q4
216866.2,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2009Q1
219856,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2009Q2
219216.6,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2009Q3
220225.2,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2009Q4
223877.6,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2010Q1
229604.7,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2010Q2
231568.2,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2010Q3
232798.5,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2010Q4
236918.6,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2011Q1
243234.4,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2011Q2
248469.9,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2011Q3
249790.6,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2011Q4
254433.6,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2012Q1
259216.1,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2012Q2
263844.3,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2012Q3
265472.2,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2012Q4
266692.2,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2013Q1
275376.2,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2013Q2
279462.7,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2013Q3
279193.2,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2013Q4
281961.5,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2014Q1
286447.3,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2014Q2
289367.4,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2014Q3
293236.2,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2014Q4
295225.9,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2015Q1
298230.1,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2015Q2
300523.9,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2015Q3
304030.5,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2015Q4
306101.2,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2016Q1
307995.2,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2016Q2
310805.9,Geschlecht - Total,Schweiz,Arbeitnehmer,Aufenthaltsdauer - Total,2016Q3
1099.9,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2002Q2
1262.8,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2002Q3
1037.4,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2002Q4
1444.3,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2003Q1
2031.3,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2003Q2
2064.2,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2003Q3
1236.2,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2003Q4
1599.9,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2004Q1
1949.2,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2004Q2
1823.3,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2004Q3
1202.3,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2004Q4
1597.7,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2005Q1
1898.7,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2005Q2
1958.3,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2005Q3
1616.8,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2005Q4
2032.3,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2006Q1
2442.1,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2006Q2
2550.8,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2006Q3
1923.9,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2006Q4
2426.2,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2007Q1
2780.5,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2007Q2
2776.6,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2007Q3
1989.5,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2007Q4
2404.5,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2008Q1
2857.1,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2008Q2
2941.9,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2008Q3
2160.3,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2008Q4
2442.7,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2009Q1
2745.2,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2009Q2
2481,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2009Q3
1816.4,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2009Q4
2406.1,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2010Q1
3198.7,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2010Q2
3244.2,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2010Q3
2363.6,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2010Q4
3118.8,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2011Q1
3862.5,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2011Q2
3814,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2011Q3
2849.8,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2011Q4
3574.1,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2012Q1
4116.3,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2012Q2
3963,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2012Q3
2961.3,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2012Q4
3753.5,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2013Q1
5009.6,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2013Q2
4959.3,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2013Q3
3875.7,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2013Q4
4553,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2014Q1
5231.3,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2014Q2
5060.3,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2014Q3
4821.9,Geschlecht - Total,Schweiz,Arbeitnehmer,<12 Monate,2014Q4
