Wert,Jahr,Grossregion,Staatsangehörigkeit / Anwesenheitsbewilligung,Anforderungsniveau des Arbeitsplatzes,Geschlecht,Zentralwert und Quartilbereich
7247,2002,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Geschlecht - Total,Median
5648,2002,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Geschlecht - Total,Int. 25%
9466,2002,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Geschlecht - Total,Int. 75%
7738,2002,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Mann,Median
6067,2002,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Mann,Int. 25%
10072,2002,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Mann,Int. 75%
6013,2002,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Frau,Median
4753,2002,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Frau,Int. 25%
7603,2002,Schweiz,SCHWEIZER/INNEN,Niveau 1+2,Frau,Int. 75%
5417,2002,Schweiz,SCHWEIZER/INNEN,Niveau 3,Geschlecht - Total,Median
4467,2002,Schweiz,SCHWEIZER/INNEN,Niveau 3,Geschlecht - Total,Int. 25%
6504,2002,Schweiz,SCHWEIZER/INNEN,Niveau 3,Geschlecht - Total,Int. 75%
5761,2002,Schweiz,SCHWEIZER/INNEN,Niveau 3,Mann,Median
4873,2002,Schweiz,SCHWEIZER/INNEN,Niveau 3,Mann,Int. 25%
6825,2002,Schweiz,SCHWEIZER/INNEN,Niveau 3,Mann,Int. 75%
4862,2002,Schweiz,SCHWEIZER/INNEN,Niveau 3,Frau,Median
3987,2002,Schweiz,SCHWEIZER/INNEN,Niveau 3,Frau,Int. 25%
5941,2002,Schweiz,SCHWEIZER/INNEN,Niveau 3,Frau,Int. 75%
4436,2002,Schweiz,SCHWEIZER/INNEN,Niveau 4,Geschlecht - Total,Median
3771,2002,Schweiz,SCHWEIZER/INNEN,Niveau 4,Geschlecht - Total,Int. 25%
5216,2002,Schweiz,SCHWEIZER/INNEN,Niveau 4,Geschlecht - Total,Int. 75%
4924,2002,Schweiz,SCHWEIZER/INNEN,Niveau 4,Mann,Median
4227,2002,Schweiz,SCHWEIZER/INNEN,Niveau 4,Mann,Int. 25%
5493,2002,Schweiz,SCHWEIZER/INNEN,Niveau 4,Mann,Int. 75%
4071,2002,Schweiz,SCHWEIZER/INNEN,Niveau 4,Frau,Median
3567,2002,Schweiz,SCHWEIZER/INNEN,Niveau 4,Frau,Int. 25%
4792,2002,Schweiz,SCHWEIZER/INNEN,Niveau 4,Frau,Int. 75%
4808,2002,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Geschlecht - Total,Median
3882,2002,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
6016,2002,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
5104,2002,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Mann,Median
4299,2002,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Mann,Int. 25%
6290,2002,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Mann,Int. 75%
4015,2002,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Frau,Median
3384,2002,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Frau,Int. 25%
5236,2002,Schweiz,AUSLÄNDER/INNEN,Anforderungsniveau - Total,Frau,Int. 75%
6810,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Geschlecht - Total,Median
5257,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Geschlecht - Total,Int. 25%
9425,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Geschlecht - Total,Int. 75%
7000,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Mann,Median
5394,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Mann,Int. 25%
9797,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Mann,Int. 75%
6298,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Frau,Median
4760,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Frau,Int. 25%
8330,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 1+2,Frau,Int. 75%
5045,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Geschlecht - Total,Median
4209,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Geschlecht - Total,Int. 25%
5974,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Geschlecht - Total,Int. 75%
5200,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Mann,Median
4460,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Mann,Int. 25%
6044,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Mann,Int. 75%
4480,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Frau,Median
3657,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Frau,Int. 25%
5701,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 3,Frau,Int. 75%
4044,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Geschlecht - Total,Median
3396,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Geschlecht - Total,Int. 25%
4766,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Geschlecht - Total,Int. 75%
4436,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Mann,Median
3773,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Mann,Int. 25%
5043,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Mann,Int. 75%
3600,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Frau,Median
3122,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Frau,Int. 25%
4138,2002,Schweiz,AUSLÄNDER/INNEN,Niveau 4,Frau,Int. 75%
3755,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Geschlecht - Total,Median
3042,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
4573,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
4066,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Mann,Median
3224,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Mann,Int. 25%
4764,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Mann,Int. 75%
3258,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Frau,Median
2857,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Frau,Int. 25%
3784,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Anforderungsniveau - Total,Frau,Int. 75%
4875,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Geschlecht - Total,Median
3945,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Geschlecht - Total,Int. 25%
6130,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Geschlecht - Total,Int. 75%
4881,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Mann,Median
4013,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Mann,Int. 25%
6195,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Mann,Int. 75%
4558,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Frau,Median
3664,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Frau,Int. 25%
5964,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 1+2,Frau,Int. 75%
3960,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 3,Geschlecht - Total,Median
3333,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 3,Geschlecht - Total,Int. 25%
4707,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 3,Geschlecht - Total,Int. 75%
4226,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 3,Mann,Median
3510,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 3,Mann,Int. 25%
4856,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 3,Mann,Int. 75%
3462,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 3,Frau,Median
3132,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 3,Frau,Int. 25%
4030,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 3,Frau,Int. 75%
3382,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 4,Geschlecht - Total,Median
2857,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 4,Geschlecht - Total,Int. 25%
4220,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 4,Geschlecht - Total,Int. 75%
3908,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 4,Mann,Median
2950,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 4,Mann,Int. 25%
4493,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 4,Mann,Int. 75%
3048,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 4,Frau,Median
2762,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 4,Frau,Int. 25%
3441,2002,Schweiz,KurzaufenthalterInnen (Kat. L),Niveau 4,Frau,Int. 75%
4608,2002,Schweiz,AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Geschlecht - Total,Median
3701,2002,Schweiz,AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
6508,2002,Schweiz,AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
4920,2002,Schweiz,AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Mann,Median
4048,2002,Schweiz,AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Mann,Int. 25%
7111,2002,Schweiz,AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Mann,Int. 75%
3913,2002,Schweiz,AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Frau,Median
3290,2002,Schweiz,AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Frau,Int. 25%
5660,2002,Schweiz,AufenthalterInnen (Kat. B),Anforderungsniveau - Total,Frau,Int. 75%
7948,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 1+2,Geschlecht - Total,Median
5829,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 1+2,Geschlecht - Total,Int. 25%
11110,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 1+2,Geschlecht - Total,Int. 75%
8471,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 1+2,Mann,Median
6212,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 1+2,Mann,Int. 25%
11909,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 1+2,Mann,Int. 75%
6921,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 1+2,Frau,Median
5243,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 1+2,Frau,Int. 25%
9250,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 1+2,Frau,Int. 75%
4821,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 3,Geschlecht - Total,Median
3981,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 3,Geschlecht - Total,Int. 25%
5887,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 3,Geschlecht - Total,Int. 75%
4911,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 3,Mann,Median
4189,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 3,Mann,Int. 25%
5853,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 3,Mann,Int. 75%
4543,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 3,Frau,Median
3648,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 3,Frau,Int. 25%
5932,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 3,Frau,Int. 75%
3792,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 4,Geschlecht - Total,Median
3274,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 4,Geschlecht - Total,Int. 25%
4412,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 4,Geschlecht - Total,Int. 75%
4140,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 4,Mann,Median
3593,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 4,Mann,Int. 25%
4680,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 4,Mann,Int. 75%
3405,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 4,Frau,Median
3048,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 4,Frau,Int. 25%
3842,2002,Schweiz,AufenthalterInnen (Kat. B),Niveau 4,Frau,Int. 75%
4875,2002,Schweiz,Niedergelassene (Kat. C),Anforderungsniveau - Total,Geschlecht - Total,Median
4018,2002,Schweiz,Niedergelassene (Kat. C),Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
5896,2002,Schweiz,Niedergelassene (Kat. C),Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
5191,2002,Schweiz,Niedergelassene (Kat. C),Anforderungsniveau - Total,Mann,Median
4484,2002,Schweiz,Niedergelassene (Kat. C),Anforderungsniveau - Total,Mann,Int. 25%
6162,2002,Schweiz,Niedergelassene (Kat. C),Anforderungsniveau - Total,Mann,Int. 75%
4044,2002,Schweiz,Niedergelassene (Kat. C),Anforderungsniveau - Total,Frau,Median
3474,2002,Schweiz,Niedergelassene (Kat. C),Anforderungsniveau - Total,Frau,Int. 25%
5028,2002,Schweiz,Niedergelassene (Kat. C),Anforderungsniveau - Total,Frau,Int. 75%
6554,2002,Schweiz,Niedergelassene (Kat. C),Niveau 1+2,Geschlecht - Total,Median
5201,2002,Schweiz,Niedergelassene (Kat. C),Niveau 1+2,Geschlecht - Total,Int. 25%
9024,2002,Schweiz,Niedergelassene (Kat. C),Niveau 1+2,Geschlecht - Total,Int. 75%
6679,2002,Schweiz,Niedergelassene (Kat. C),Niveau 1+2,Mann,Median
5335,2002,Schweiz,Niedergelassene (Kat. C),Niveau 1+2,Mann,Int. 25%
9413,2002,Schweiz,Niedergelassene (Kat. C),Niveau 1+2,Mann,Int. 75%
6106,2002,Schweiz,Niedergelassene (Kat. C),Niveau 1+2,Frau,Median
4634,2002,Schweiz,Niedergelassene (Kat. C),Niveau 1+2,Frau,Int. 25%
7953,2002,Schweiz,Niedergelassene (Kat. C),Niveau 1+2,Frau,Int. 75%
5126,2002,Schweiz,Niedergelassene (Kat. C),Niveau 3,Geschlecht - Total,Median
4333,2002,Schweiz,Niedergelassene (Kat. C),Niveau 3,Geschlecht - Total,Int. 25%
5953,2002,Schweiz,Niedergelassene (Kat. C),Niveau 3,Geschlecht - Total,Int. 75%
5292,2002,Schweiz,Niedergelassene (Kat. C),Niveau 3,Mann,Median
4635,2002,Schweiz,Niedergelassene (Kat. C),Niveau 3,Mann,Int. 25%
6041,2002,Schweiz,Niedergelassene (Kat. C),Niveau 3,Mann,Int. 75%
4457,2002,Schweiz,Niedergelassene (Kat. C),Niveau 3,Frau,Median
3718,2002,Schweiz,Niedergelassene (Kat. C),Niveau 3,Frau,Int. 25%
5535,2002,Schweiz,Niedergelassene (Kat. C),Niveau 3,Frau,Int. 75%
4258,2002,Schweiz,Niedergelassene (Kat. C),Niveau 4,Geschlecht - Total,Median
3599,2002,Schweiz,Niedergelassene (Kat. C),Niveau 4,Geschlecht - Total,Int. 25%
4937,2002,Schweiz,Niedergelassene (Kat. C),Niveau 4,Geschlecht - Total,Int. 75%
4675,2002,Schweiz,Niedergelassene (Kat. C),Niveau 4,Mann,Median
4100,2002,Schweiz,Niedergelassene (Kat. C),Niveau 4,Mann,Int. 25%
5224,2002,Schweiz,Niedergelassene (Kat. C),Niveau 4,Mann,Int. 75%
3721,2002,Schweiz,Niedergelassene (Kat. C),Niveau 4,Frau,Median
3292,2002,Schweiz,Niedergelassene (Kat. C),Niveau 4,Frau,Int. 25%
4258,2002,Schweiz,Niedergelassene (Kat. C),Niveau 4,Frau,Int. 75%
5200,2002,Schweiz,GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Geschlecht - Total,Median
4220,2002,Schweiz,GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
6628,2002,Schweiz,GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
5417,2002,Schweiz,GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Mann,Median
4526,2002,Schweiz,GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Mann,Int. 25%
6874,2002,Schweiz,GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Mann,Int. 75%
4451,2002,Schweiz,GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Frau,Median
3542,2002,Schweiz,GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Frau,Int. 25%
6067,2002,Schweiz,GrenzgängerInnen (Kat. G),Anforderungsniveau - Total,Frau,Int. 75%
6765,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 1+2,Geschlecht - Total,Median
5271,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 1+2,Geschlecht - Total,Int. 25%
9048,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 1+2,Geschlecht - Total,Int. 75%
6912,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 1+2,Mann,Median
5390,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 1+2,Mann,Int. 25%
9223,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 1+2,Mann,Int. 75%
6341,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 1+2,Frau,Median
4875,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 1+2,Frau,Int. 25%
8243,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 1+2,Frau,Int. 75%
5211,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 3,Geschlecht - Total,Median
4388,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 3,Geschlecht - Total,Int. 25%
6280,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 3,Geschlecht - Total,Int. 75%
5287,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 3,Mann,Median
4555,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 3,Mann,Int. 25%
6272,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 3,Mann,Int. 75%
4875,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 3,Frau,Median
3830,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 3,Frau,Int. 25%
6301,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 3,Frau,Int. 75%
4077,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 4,Geschlecht - Total,Median
3398,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 4,Geschlecht - Total,Int. 25%
4849,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 4,Geschlecht - Total,Int. 75%
4453,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 4,Mann,Median
3811,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 4,Mann,Int. 25%
5145,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 4,Mann,Int. 75%
3615,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 4,Frau,Median
2954,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 4,Frau,Int. 25%
4281,2002,Schweiz,GrenzgängerInnen (Kat. G),Niveau 4,Frau,Int. 75%
4277,2002,Schweiz,Andere,Anforderungsniveau - Total,Geschlecht - Total,Median
3365,2002,Schweiz,Andere,Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
5718,2002,Schweiz,Andere,Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
4421,2002,Schweiz,Andere,Anforderungsniveau - Total,Mann,Median
3408,2002,Schweiz,Andere,Anforderungsniveau - Total,Mann,Int. 25%
5992,2002,Schweiz,Andere,Anforderungsniveau - Total,Mann,Int. 75%
3967,2002,Schweiz,Andere,Anforderungsniveau - Total,Frau,Median
3248,2002,Schweiz,Andere,Anforderungsniveau - Total,Frau,Int. 25%
5098,2002,Schweiz,Andere,Anforderungsniveau - Total,Frau,Int. 75%
6667,2002,Schweiz,Andere,Niveau 1+2,Geschlecht - Total,Median
5200,2002,Schweiz,Andere,Niveau 1+2,Geschlecht - Total,Int. 25%
9160,2002,Schweiz,Andere,Niveau 1+2,Geschlecht - Total,Int. 75%
6954,2002,Schweiz,Andere,Niveau 1+2,Mann,Median
5501,2002,Schweiz,Andere,Niveau 1+2,Mann,Int. 25%
9479,2002,Schweiz,Andere,Niveau 1+2,Mann,Int. 75%
5950,2002,Schweiz,Andere,Niveau 1+2,Frau,Median
4597,2002,Schweiz,Andere,Niveau 1+2,Frau,Int. 25%
7800,2002,Schweiz,Andere,Niveau 1+2,Frau,Int. 75%
4642,2002,Schweiz,Andere,Niveau 3,Geschlecht - Total,Median
3674,2002,Schweiz,Andere,Niveau 3,Geschlecht - Total,Int. 25%
5936,2002,Schweiz,Andere,Niveau 3,Geschlecht - Total,Int. 75%
4883,2002,Schweiz,Andere,Niveau 3,Mann,Median
3801,2002,Schweiz,Andere,Niveau 3,Mann,Int. 25%
6195,2002,Schweiz,Andere,Niveau 3,Mann,Int. 75%
4151,2002,Schweiz,Andere,Niveau 3,Frau,Median
3355,2002,Schweiz,Andere,Niveau 3,Frau,Int. 25%
5268,2002,Schweiz,Andere,Niveau 3,Frau,Int. 75%
3564,2002,Schweiz,Andere,Niveau 4,Geschlecht - Total,Median
3074,2002,Schweiz,Andere,Niveau 4,Geschlecht - Total,Int. 25%
4250,2002,Schweiz,Andere,Niveau 4,Geschlecht - Total,Int. 75%
3569,2002,Schweiz,Andere,Niveau 4,Mann,Median
3095,2002,Schweiz,Andere,Niveau 4,Mann,Int. 25%
4263,2002,Schweiz,Andere,Niveau 4,Mann,Int. 75%
3549,2002,Schweiz,Andere,Niveau 4,Frau,Median
3048,2002,Schweiz,Andere,Niveau 4,Frau,Int. 25%
4215,2002,Schweiz,Andere,Niveau 4,Frau,Int. 75%
5422,2002,"Genferseeregion (VD, VS, GE)",SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Geschlecht - Total,Median
