Value,Geschlecht,Arbeitskanton,Altersklasse,Quartal
1163.2,Geschlecht - Total,Schweiz,15-19 Jahre,2006Q2
1359.8,Geschlecht - Total,Schweiz,15-19 Jahre,2006Q3
1368.4,Geschlecht - Total,Schweiz,15-19 Jahre,2006Q4
1344.8,Geschlecht - Total,Schweiz,15-19 Jahre,2007Q1
1333.6,Geschlecht - Total,Schweiz,15-19 Jahre,2007Q2
1530.1,Geschlecht - Total,Schweiz,15-19 Jahre,2007Q3
1553.8,Geschlecht - Total,Schweiz,15-19 Jahre,2007Q4
1552,Geschlecht - Total,Schweiz,15-19 Jahre,2008Q1
1522.6,Geschlecht - Total,Schweiz,15-19 Jahre,2008Q2
1641.7,Geschlecht - Total,Schweiz,15-19 Jahre,2008Q3
1575.3,Geschlecht - Total,Schweiz,15-19 Jahre,2008Q4
1404.4,Geschlecht - Total,Schweiz,15-19 Jahre,2009Q1
1332.3,Geschlecht - Total,Schweiz,15-19 Jahre,2009Q2
1389.9,Geschlecht - Total,Schweiz,15-19 Jahre,2009Q3
1350.9,Geschlecht - Total,Schweiz,15-19 Jahre,2009Q4
1271,Geschlecht - Total,Schweiz,15-19 Jahre,2010Q1
1228.3,Geschlecht - Total,Schweiz,15-19 Jahre,2010Q2
1314.3,Geschlecht - Total,Schweiz,15-19 Jahre,2010Q3
1364.6,Geschlecht - Total,Schweiz,15-19 Jahre,2010Q4
1393.3,Geschlecht - Total,Schweiz,15-19 Jahre,2011Q1
1392.4,Geschlecht - Total,Schweiz,15-19 Jahre,2011Q2
1498.7,Geschlecht - Total,Schweiz,15-19 Jahre,2011Q3
1459.1,Geschlecht - Total,Schweiz,15-19 Jahre,2011Q4
1403.6,Geschlecht - Total,Schweiz,15-19 Jahre,2012Q1
1292.3,Geschlecht - Total,Schweiz,15-19 Jahre,2012Q2
1424.4,Geschlecht - Total,Schweiz,15-19 Jahre,2012Q3
1380.3,Geschlecht - Total,Schweiz,15-19 Jahre,2012Q4
1328.3,Geschlecht - Total,Schweiz,15-19 Jahre,2013Q1
1351.7,Geschlecht - Total,Schweiz,15-19 Jahre,2013Q2
1459.2,Geschlecht - Total,Schweiz,15-19 Jahre,2013Q3
1355.2,Geschlecht - Total,Schweiz,15-19 Jahre,2013Q4
1278.6,Geschlecht - Total,Schweiz,15-19 Jahre,2014Q1
1198.5,Geschlecht - Total,Schweiz,15-19 Jahre,2014Q2
1317.2,Geschlecht - Total,Schweiz,15-19 Jahre,2014Q3
1349.1,Geschlecht - Total,Schweiz,15-19 Jahre,2014Q4
1243.4,Geschlecht - Total,Schweiz,15-19 Jahre,2015Q1
1140.2,Geschlecht - Total,Schweiz,15-19 Jahre,2015Q2
1176.4,Geschlecht - Total,Schweiz,15-19 Jahre,2015Q3
1171.1,Geschlecht - Total,Schweiz,15-19 Jahre,2015Q4
1110.6,Geschlecht - Total,Schweiz,15-19 Jahre,2016Q1
1011.8,Geschlecht - Total,Schweiz,15-19 Jahre,2016Q2
1079,Geschlecht - Total,Schweiz,15-19 Jahre,2016Q3
4797.2,Geschlecht - Total,Schweiz,20-24 Jahre,1999Q1
5040.5,Geschlecht - Total,Schweiz,20-24 Jahre,1999Q2
5039.6,Geschlecht - Total,Schweiz,20-24 Jahre,1999Q3
5224.2,Geschlecht - Total,Schweiz,20-24 Jahre,1999Q4
5528,Geschlecht - Total,Schweiz,20-24 Jahre,2000Q1
6174.7,Geschlecht - Total,Schweiz,20-24 Jahre,2000Q2
6666.4,Geschlecht - Total,Schweiz,20-24 Jahre,2000Q3
7163.3,Geschlecht - Total,Schweiz,20-24 Jahre,2000Q4
7679.5,Geschlecht - Total,Schweiz,20-24 Jahre,2001Q1
8300,Geschlecht - Total,Schweiz,20-24 Jahre,2001Q2
8585.8,Geschlecht - Total,Schweiz,20-24 Jahre,2001Q3
8601.8,Geschlecht - Total,Schweiz,20-24 Jahre,2001Q4
8656.2,Geschlecht - Total,Schweiz,20-24 Jahre,2002Q1
8738.5,Geschlecht - Total,Schweiz,20-24 Jahre,2002Q2
8859.5,Geschlecht - Total,Schweiz,20-24 Jahre,2002Q3
8885.4,Geschlecht - Total,Schweiz,20-24 Jahre,2002Q4
9055.8,Geschlecht - Total,Schweiz,20-24 Jahre,2003Q1
9037.2,Geschlecht - Total,Schweiz,20-24 Jahre,2003Q2
9018.4,Geschlecht - Total,Schweiz,20-24 Jahre,2003Q3
8756.1,Geschlecht - Total,Schweiz,20-24 Jahre,2003Q4
8752.3,Geschlecht - Total,Schweiz,20-24 Jahre,2004Q1
9215.6,Geschlecht - Total,Schweiz,20-24 Jahre,2004Q2
9117.5,Geschlecht - Total,Schweiz,20-24 Jahre,2004Q3
9265.6,Geschlecht - Total,Schweiz,20-24 Jahre,2004Q4
9471.6,Geschlecht - Total,Schweiz,20-24 Jahre,2005Q1
9438.2,Geschlecht - Total,Schweiz,20-24 Jahre,2005Q2
9238.7,Geschlecht - Total,Schweiz,20-24 Jahre,2005Q3
9538.3,Geschlecht - Total,Schweiz,20-24 Jahre,2005Q4
9790.4,Geschlecht - Total,Schweiz,20-24 Jahre,2006Q1
10125.1,Geschlecht - Total,Schweiz,20-24 Jahre,2006Q2
10554.2,Geschlecht - Total,Schweiz,20-24 Jahre,2006Q3
10871.1,Geschlecht - Total,Schweiz,20-24 Jahre,2006Q4
11326.2,Geschlecht - Total,Schweiz,20-24 Jahre,2007Q1
11943.1,Geschlecht - Total,Schweiz,20-24 Jahre,2007Q2
12145.2,Geschlecht - Total,Schweiz,20-24 Jahre,2007Q3
12515.4,Geschlecht - Total,Schweiz,20-24 Jahre,2007Q4
13094.1,Geschlecht - Total,Schweiz,20-24 Jahre,2008Q1
13584.5,Geschlecht - Total,Schweiz,20-24 Jahre,2008Q2
13590.4,Geschlecht - Total,Schweiz,20-24 Jahre,2008Q3
13582.8,Geschlecht - Total,Schweiz,20-24 Jahre,2008Q4
13419.2,Geschlecht - Total,Schweiz,20-24 Jahre,2009Q1
13230.1,Geschlecht - Total,Schweiz,20-24 Jahre,2009Q2
12630.4,Geschlecht - Total,Schweiz,20-24 Jahre,2009Q3
12630.1,Geschlecht - Total,Schweiz,20-24 Jahre,2009Q4
12641.8,Geschlecht - Total,Schweiz,20-24 Jahre,2010Q1
12969.2,Geschlecht - Total,Schweiz,20-24 Jahre,2010Q2
12806.9,Geschlecht - Total,Schweiz,20-24 Jahre,2010Q3
13030.4,Geschlecht - Total,Schweiz,20-24 Jahre,2010Q4
13617.5,Geschlecht - Total,Schweiz,20-24 Jahre,2011Q1
14205.6,Geschlecht - Total,Schweiz,20-24 Jahre,2011Q2
14429.3,Geschlecht - Total,Schweiz,20-24 Jahre,2011Q3
14323.8,Geschlecht - Total,Schweiz,20-24 Jahre,2011Q4
14863.8,Geschlecht - Total,Schweiz,20-24 Jahre,2012Q1
14928.5,Geschlecht - Total,Schweiz,20-24 Jahre,2012Q2
14963.4,Geschlecht - Total,Schweiz,20-24 Jahre,2012Q3
14891.5,Geschlecht - Total,Schweiz,20-24 Jahre,2012Q4
14881.7,Geschlecht - Total,Schweiz,20-24 Jahre,2013Q1
15739.3,Geschlecht - Total,Schweiz,20-24 Jahre,2013Q2
15630.7,Geschlecht - Total,Schweiz,20-24 Jahre,2013Q3
15237.3,Geschlecht - Total,Schweiz,20-24 Jahre,2013Q4
15169,Geschlecht - Total,Schweiz,20-24 Jahre,2014Q1
15198.8,Geschlecht - Total,Schweiz,20-24 Jahre,2014Q2
15154.7,Geschlecht - Total,Schweiz,20-24 Jahre,2014Q3
15339.6,Geschlecht - Total,Schweiz,20-24 Jahre,2014Q4
15102.2,Geschlecht - Total,Schweiz,20-24 Jahre,2015Q1
14811.2,Geschlecht - Total,Schweiz,20-24 Jahre,2015Q2
14454.7,Geschlecht - Total,Schweiz,20-24 Jahre,2015Q3
14447.9,Geschlecht - Total,Schweiz,20-24 Jahre,2015Q4
14214.7,Geschlecht - Total,Schweiz,20-24 Jahre,2016Q1
13866.1,Geschlecht - Total,Schweiz,20-24 Jahre,2016Q2
13537.5,Geschlecht - Total,Schweiz,20-24 Jahre,2016Q3
13797.5,Geschlecht - Total,Schweiz,25-29 Jahre,1999Q1
13509.6,Geschlecht - Total,Schweiz,25-29 Jahre,1999Q2
13476,Geschlecht - Total,Schweiz,25-29 Jahre,1999Q3
13500.3,Geschlecht - Total,Schweiz,25-29 Jahre,1999Q4
13728,Geschlecht - Total,Schweiz,25-29 Jahre,2000Q1
14206.3,Geschlecht - Total,Schweiz,25-29 Jahre,2000Q2
14794.9,Geschlecht - Total,Schweiz,25-29 Jahre,2000Q3
15278.7,Geschlecht - Total,Schweiz,25-29 Jahre,2000Q4
15862.2,Geschlecht - Total,Schweiz,25-29 Jahre,2001Q1
16532.5,Geschlecht - Total,Schweiz,25-29 Jahre,2001Q2
16972.4,Geschlecht - Total,Schweiz,25-29 Jahre,2001Q3
17195,Geschlecht - Total,Schweiz,25-29 Jahre,2001Q4
17347.6,Geschlecht - Total,Schweiz,25-29 Jahre,2002Q1
17484.7,Geschlecht - Total,Schweiz,25-29 Jahre,2002Q2
17528.9,Geschlecht - Total,Schweiz,25-29 Jahre,2002Q3
17719.3,Geschlecht - Total,Schweiz,25-29 Jahre,2002Q4
17999.2,Geschlecht - Total,Schweiz,25-29 Jahre,2003Q1
18161.8,Geschlecht - Total,Schweiz,25-29 Jahre,2003Q2
18252.5,Geschlecht - Total,Schweiz,25-29 Jahre,2003Q3
18210.5,Geschlecht - Total,Schweiz,25-29 Jahre,2003Q4
18278.4,Geschlecht - Total,Schweiz,25-29 Jahre,2004Q1
19184.5,Geschlecht - Total,Schweiz,25-29 Jahre,2004Q2
19089.2,Geschlecht - Total,Schweiz,25-29 Jahre,2004Q3
19167.5,Geschlecht - Total,Schweiz,25-29 Jahre,2004Q4
19549.5,Geschlecht - Total,Schweiz,25-29 Jahre,2005Q1
19859.4,Geschlecht - Total,Schweiz,25-29 Jahre,2005Q2
19783.1,Geschlecht - Total,Schweiz,25-29 Jahre,2005Q3
20343.5,Geschlecht - Total,Schweiz,25-29 Jahre,2005Q4
20864,Geschlecht - Total,Schweiz,25-29 Jahre,2006Q1
21634,Geschlecht - Total,Schweiz,25-29 Jahre,2006Q2
22490.9,Geschlecht - Total,Schweiz,25-29 Jahre,2006Q3
23150.5,Geschlecht - Total,Schweiz,25-29 Jahre,2006Q4
23832.6,Geschlecht - Total,Schweiz,25-29 Jahre,2007Q1
24565.9,Geschlecht - Total,Schweiz,25-29 Jahre,2007Q2
25304.7,Geschlecht - Total,Schweiz,25-29 Jahre,2007Q3
25820.8,Geschlecht - Total,Schweiz,25-29 Jahre,2007Q4
26397.3,Geschlecht - Total,Schweiz,25-29 Jahre,2008Q1
27127.9,Geschlecht - Total,Schweiz,25-29 Jahre,2008Q2
27505.1,Geschlecht - Total,Schweiz,25-29 Jahre,2008Q3
27594.1,Geschlecht - Total,Schweiz,25-29 Jahre,2008Q4
27599.6,Geschlecht - Total,Schweiz,25-29 Jahre,2009Q1
27830.3,Geschlecht - Total,Schweiz,25-29 Jahre,2009Q2
27515.9,Geschlecht - Total,Schweiz,25-29 Jahre,2009Q3
27562.3,Geschlecht - Total,Schweiz,25-29 Jahre,2009Q4
27999,Geschlecht - Total,Schweiz,25-29 Jahre,2010Q1
28626.4,Geschlecht - Total,Schweiz,25-29 Jahre,2010Q2
28922.1,Geschlecht - Total,Schweiz,25-29 Jahre,2010Q3
29098,Geschlecht - Total,Schweiz,25-29 Jahre,2010Q4
29888.2,Geschlecht - Total,Schweiz,25-29 Jahre,2011Q1
30741.5,Geschlecht - Total,Schweiz,25-29 Jahre,2011Q2
31439.6,Geschlecht - Total,Schweiz,25-29 Jahre,2011Q3
31634.2,Geschlecht - Total,Schweiz,25-29 Jahre,2011Q4
32261.4,Geschlecht - Total,Schweiz,25-29 Jahre,2012Q1
32833.9,Geschlecht - Total,Schweiz,25-29 Jahre,2012Q2
33393.9,Geschlecht - Total,Schweiz,25-29 Jahre,2012Q3
33832.3,Geschlecht - Total,Schweiz,25-29 Jahre,2012Q4
33996.4,Geschlecht - Total,Schweiz,25-29 Jahre,2013Q1
35337.5,Geschlecht - Total,Schweiz,25-29 Jahre,2013Q2
35765.9,Geschlecht - Total,Schweiz,25-29 Jahre,2013Q3
35780.4,Geschlecht - Total,Schweiz,25-29 Jahre,2013Q4
35897.6,Geschlecht - Total,Schweiz,25-29 Jahre,2014Q1
36363.7,Geschlecht - Total,Schweiz,25-29 Jahre,2014Q2
36424.5,Geschlecht - Total,Schweiz,25-29 Jahre,2014Q3
36883.2,Geschlecht - Total,Schweiz,25-29 Jahre,2014Q4
37048.7,Geschlecht - Total,Schweiz,25-29 Jahre,2015Q1
37353.7,Geschlecht - Total,Schweiz,25-29 Jahre,2015Q2
37373.7,Geschlecht - Total,Schweiz,25-29 Jahre,2015Q3
37911.8,Geschlecht - Total,Schweiz,25-29 Jahre,2015Q4
37973.6,Geschlecht - Total,Schweiz,25-29 Jahre,2016Q1
38017.4,Geschlecht - Total,Schweiz,25-29 Jahre,2016Q2
38129.3,Geschlecht - Total,Schweiz,25-29 Jahre,2016Q3
25367.7,Geschlecht - Total,Schweiz,30-34 Jahre,1999Q1
24996.8,Geschlecht - Total,Schweiz,30-34 Jahre,1999Q2
24805.2,Geschlecht - Total,Schweiz,30-34 Jahre,1999Q3
24541.7,Geschlecht - Total,Schweiz,30-34 Jahre,1999Q4
24405.6,Geschlecht - Total,Schweiz,30-34 Jahre,2000Q1
24577.8,Geschlecht - Total,Schweiz,30-34 Jahre,2000Q2
24696,Geschlecht - Total,Schweiz,30-34 Jahre,2000Q3
24930.6,Geschlecht - Total,Schweiz,30-34 Jahre,2000Q4
25203.6,Geschlecht - Total,Schweiz,30-34 Jahre,2001Q1
25529.5,Geschlecht - Total,Schweiz,30-34 Jahre,2001Q2
25681.7,Geschlecht - Total,Schweiz,30-34 Jahre,2001Q3
25648.6,Geschlecht - Total,Schweiz,30-34 Jahre,2001Q4
25579.9,Geschlecht - Total,Schweiz,30-34 Jahre,2002Q1
25399.5,Geschlecht - Total,Schweiz,30-34 Jahre,2002Q2
25304.1,Geschlecht - Total,Schweiz,30-34 Jahre,2002Q3
25302.1,Geschlecht - Total,Schweiz,30-34 Jahre,2002Q4
25423.9,Geschlecht - Total,Schweiz,30-34 Jahre,2003Q1
25490.8,Geschlecht - Total,Schweiz,30-34 Jahre,2003Q2
25534.8,Geschlecht - Total,Schweiz,30-34 Jahre,2003Q3
25325,Geschlecht - Total,Schweiz,30-34 Jahre,2003Q4
25350.8,Geschlecht - Total,Schweiz,30-34 Jahre,2004Q1
26031.9,Geschlecht - Total,Schweiz,30-34 Jahre,2004Q2
25632.3,Geschlecht - Total,Schweiz,30-34 Jahre,2004Q3
25599,Geschlecht - Total,Schweiz,30-34 Jahre,2004Q4
25875.4,Geschlecht - Total,Schweiz,30-34 Jahre,2005Q1
25871.7,Geschlecht - Total,Schweiz,30-34 Jahre,2005Q2
25579.5,Geschlecht - Total,Schweiz,30-34 Jahre,2005Q3
25781.5,Geschlecht - Total,Schweiz,30-34 Jahre,2005Q4
26095,Geschlecht - Total,Schweiz,30-34 Jahre,2006Q1
26656.7,Geschlecht - Total,Schweiz,30-34 Jahre,2006Q2
27431.5,Geschlecht - Total,Schweiz,30-34 Jahre,2006Q3
27879.4,Geschlecht - Total,Schweiz,30-34 Jahre,2006Q4
28483.3,Geschlecht - Total,Schweiz,30-34 Jahre,2007Q1
29479.8,Geschlecht - Total,Schweiz,30-34 Jahre,2007Q2
29763.7,Geschlecht - Total,Schweiz,30-34 Jahre,2007Q3
29827.2,Geschlecht - Total,Schweiz,30-34 Jahre,2007Q4
30280.6,Geschlecht - Total,Schweiz,30-34 Jahre,2008Q1
30960.7,Geschlecht - Total,Schweiz,30-34 Jahre,2008Q2
31046.4,Geschlecht - Total,Schweiz,30-34 Jahre,2008Q3
30892.6,Geschlecht - Total,Schweiz,30-34 Jahre,2008Q4
31057.7,Geschlecht - Total,Schweiz,30-34 Jahre,2009Q1
31428.8,Geschlecht - Total,Schweiz,30-34 Jahre,2009Q2
31216.3,Geschlecht - Total,Schweiz,30-34 Jahre,2009Q3
31218.4,Geschlecht - Total,Schweiz,30-34 Jahre,2009Q4
31586.4,Geschlecht - Total,Schweiz,30-34 Jahre,2010Q1
32537,Geschlecht - Total,Schweiz,30-34 Jahre,2010Q2
32939.3,Geschlecht - Total,Schweiz,30-34 Jahre,2010Q3
33305.9,Geschlecht - Total,Schweiz,30-34 Jahre,2010Q4
34113.1,Geschlecht - Total,Schweiz,30-34 Jahre,2011Q1
35078.6,Geschlecht - Total,Schweiz,30-34 Jahre,2011Q2
36064.5,Geschlecht - Total,Schweiz,30-34 Jahre,2011Q3
36446.2,Geschlecht - Total,Schweiz,30-34 Jahre,2011Q4
37653,Geschlecht - Total,Schweiz,30-34 Jahre,2012Q1
38337,Geschlecht - Total,Schweiz,30-34 Jahre,2012Q2
39282.7,Geschlecht - Total,Schweiz,30-34 Jahre,2012Q3
39860.5,Geschlecht - Total,Schweiz,30-34 Jahre,2012Q4
40338.5,Geschlecht - Total,Schweiz,30-34 Jahre,2013Q1
41820.3,Geschlecht - Total,Schweiz,30-34 Jahre,2013Q2
42642.4,Geschlecht - Total,Schweiz,30-34 Jahre,2013Q3
42669.2,Geschlecht - Total,Schweiz,30-34 Jahre,2013Q4
43303,Geschlecht - Total,Schweiz,30-34 Jahre,2014Q1
43872.7,Geschlecht - Total,Schweiz,30-34 Jahre,2014Q2
44285.9,Geschlecht - Total,Schweiz,30-34 Jahre,2014Q3
44979.3,Geschlecht - Total,Schweiz,30-34 Jahre,2014Q4
45190.3,Geschlecht - Total,Schweiz,30-34 Jahre,2015Q1
45490.8,Geschlecht - Total,Schweiz,30-34 Jahre,2015Q2
45747.6,Geschlecht - Total,Schweiz,30-34 Jahre,2015Q3
46225.8,Geschlecht - Total,Schweiz,30-34 Jahre,2015Q4
46428.5,Geschlecht - Total,Schweiz,30-34 Jahre,2016Q1
46627.3,Geschlecht - Total,Schweiz,30-34 Jahre,2016Q2
46945.4,Geschlecht - Total,Schweiz,30-34 Jahre,2016Q3
25125.2,Geschlecht - Total,Schweiz,35-39 Jahre,1999Q1
25346.1,Geschlecht - Total,Schweiz,35-39 Jahre,1999Q2
25780.1,Geschlecht - Total,Schweiz,35-39 Jahre,1999Q3
26087.9,Geschlecht - Total,Schweiz,35-39 Jahre,1999Q4
26573.3,Geschlecht - Total,Schweiz,35-39 Jahre,2000Q1
27186.7,Geschlecht - Total,Schweiz,35-39 Jahre,2000Q2
27988.9,Geschlecht - Total,Schweiz,35-39 Jahre,2000Q3
28547.5,Geschlecht - Total,Schweiz,35-39 Jahre,2000Q4
29148.5,Geschlecht - Total,Schweiz,35-39 Jahre,2001Q1
29887.3,Geschlecht - Total,Schweiz,35-39 Jahre,2001Q2
30458.5,Geschlecht - Total,Schweiz,35-39 Jahre,2001Q3
30750.8,Geschlecht - Total,Schweiz,35-39 Jahre,2001Q4
31166.4,Geschlecht - Total,Schweiz,35-39 Jahre,2002Q1
31265.4,Geschlecht - Total,Schweiz,35-39 Jahre,2002Q2
31473.7,Geschlecht - Total,Schweiz,35-39 Jahre,2002Q3
31554.7,Geschlecht - Total,Schweiz,35-39 Jahre,2002Q4
31730.3,Geschlecht - Total,Schweiz,35-39 Jahre,2003Q1
31886.6,Geschlecht - Total,Schweiz,35-39 Jahre,2003Q2
32052.8,Geschlecht - Total,Schweiz,35-39 Jahre,2003Q3
32017,Geschlecht - Total,Schweiz,35-39 Jahre,2003Q4
32209.4,Geschlecht - Total,Schweiz,35-39 Jahre,2004Q1
32755.3,Geschlecht - Total,Schweiz,35-39 Jahre,2004Q2
31994.7,Geschlecht - Total,Schweiz,35-39 Jahre,2004Q3
31651,Geschlecht - Total,Schweiz,35-39 Jahre,2004Q4
31616.2,Geschlecht - Total,Schweiz,35-39 Jahre,2005Q1
31307.2,Geschlecht - Total,Schweiz,35-39 Jahre,2005Q2
30739.3,Geschlecht - Total,Schweiz,35-39 Jahre,2005Q3
30866.8,Geschlecht - Total,Schweiz,35-39 Jahre,2005Q4
31058.6,Geschlecht - Total,Schweiz,35-39 Jahre,2006Q1
31354,Geschlecht - Total,Schweiz,35-39 Jahre,2006Q2
31973.1,Geschlecht - Total,Schweiz,35-39 Jahre,2006Q3
32114,Geschlecht - Total,Schweiz,35-39 Jahre,2006Q4
