Wert,Szenario-Variante,Jahr,Staatsangehörigkeit,Variable
52.26,A-00-2015,2038,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
59.06,A-00-2015,2038,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
64.83,A-00-2015,2038,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
74.71,A-00-2015,2038,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
28.58,A-00-2015,2038,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
31.16,A-00-2015,2038,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
52.79,A-00-2015,2039,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
59.64,A-00-2015,2039,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.03,A-00-2015,2039,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
74.91,A-00-2015,2039,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
29.62,A-00-2015,2039,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
32.3,A-00-2015,2039,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
53.25,A-00-2015,2040,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
60.15,A-00-2015,2040,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.11,A-00-2015,2040,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
74.98,A-00-2015,2040,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
30.7,A-00-2015,2040,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
33.47,A-00-2015,2040,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
53.71,A-00-2015,2041,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
60.67,A-00-2015,2041,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.16,A-00-2015,2041,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
75.02,A-00-2015,2041,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
31.82,A-00-2015,2041,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
34.69,A-00-2015,2041,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
54.18,A-00-2015,2042,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
61.19,A-00-2015,2042,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.21,A-00-2015,2042,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
75.07,A-00-2015,2042,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
32.98,A-00-2015,2042,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
35.95,A-00-2015,2042,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
54.65,A-00-2015,2043,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
61.72,A-00-2015,2043,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.27,A-00-2015,2043,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
75.11,A-00-2015,2043,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
34.14,A-00-2015,2043,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
37.22,A-00-2015,2043,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
55.15,A-00-2015,2044,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
62.28,A-00-2015,2044,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.36,A-00-2015,2044,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
75.21,A-00-2015,2044,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
35.32,A-00-2015,2044,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
38.5,A-00-2015,2044,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
55.7,A-00-2015,2045,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
62.9,A-00-2015,2045,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.52,A-00-2015,2045,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
75.38,A-00-2015,2045,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
36.55,A-00-2015,2045,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
39.84,A-00-2015,2045,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
56.26,A-00-2015,2046,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
63.53,A-00-2015,2046,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
65.68,A-00-2015,2046,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
75.55,A-00-2015,2046,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
