Wert,Jahr,Grossregion,Nettolohnhöhenklasse,Beschäftigungsgrad,Geschlecht
1,2002,Schweiz,12001-13000 Franken,Vollzeit (>=90%),Mann
0.3,2002,Schweiz,12001-13000 Franken,Vollzeit (>=90%),Frau
0,2002,Schweiz,12001-13000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2002,Schweiz,12001-13000 Franken,Teilzeit (<90%),Mann
"""......""",2002,Schweiz,12001-13000 Franken,Teilzeit (<90%),Frau
0.4,2002,Schweiz,13001-14000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.6,2002,Schweiz,13001-14000 Franken,Beschäftigungsgrad - Total,Mann
0.1,2002,Schweiz,13001-14000 Franken,Beschäftigungsgrad - Total,Frau
0.5,2002,Schweiz,13001-14000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.7,2002,Schweiz,13001-14000 Franken,Vollzeit (>=90%),Mann
0.2,2002,Schweiz,13001-14000 Franken,Vollzeit (>=90%),Frau
0,2002,Schweiz,13001-14000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2002,Schweiz,13001-14000 Franken,Teilzeit (<90%),Mann
"""......""",2002,Schweiz,13001-14000 Franken,Teilzeit (<90%),Frau
0.3,2002,Schweiz,14001-15000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.5,2002,Schweiz,14001-15000 Franken,Beschäftigungsgrad - Total,Mann
0.1,2002,Schweiz,14001-15000 Franken,Beschäftigungsgrad - Total,Frau
0.4,2002,Schweiz,14001-15000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.5,2002,Schweiz,14001-15000 Franken,Vollzeit (>=90%),Mann
0.1,2002,Schweiz,14001-15000 Franken,Vollzeit (>=90%),Frau
0,2002,Schweiz,14001-15000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2002,Schweiz,14001-15000 Franken,Teilzeit (<90%),Mann
"""......""",2002,Schweiz,14001-15000 Franken,Teilzeit (<90%),Frau
0.2,2002,Schweiz,15001-16000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.4,2002,Schweiz,15001-16000 Franken,Beschäftigungsgrad - Total,Mann
0,2002,Schweiz,15001-16000 Franken,Beschäftigungsgrad - Total,Frau
0.3,2002,Schweiz,15001-16000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.4,2002,Schweiz,15001-16000 Franken,Vollzeit (>=90%),Mann
0.1,2002,Schweiz,15001-16000 Franken,Vollzeit (>=90%),Frau
"""......""",2002,Schweiz,15001-16000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2002,Schweiz,15001-16000 Franken,Teilzeit (<90%),Mann
"""......""",2002,Schweiz,15001-16000 Franken,Teilzeit (<90%),Frau
0.2,2002,Schweiz,16001-17000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.3,2002,Schweiz,16001-17000 Franken,Beschäftigungsgrad - Total,Mann
0,2002,Schweiz,16001-17000 Franken,Beschäftigungsgrad - Total,Frau
0.2,2002,Schweiz,16001-17000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.3,2002,Schweiz,16001-17000 Franken,Vollzeit (>=90%),Mann
0.1,2002,Schweiz,16001-17000 Franken,Vollzeit (>=90%),Frau
"""......""",2002,Schweiz,16001-17000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2002,Schweiz,16001-17000 Franken,Teilzeit (<90%),Mann
"""......""",2002,Schweiz,16001-17000 Franken,Teilzeit (<90%),Frau
0.1,2002,Schweiz,17001-18000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.2,2002,Schweiz,17001-18000 Franken,Beschäftigungsgrad - Total,Mann
0,2002,Schweiz,17001-18000 Franken,Beschäftigungsgrad - Total,Frau
0.2,2002,Schweiz,17001-18000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.2,2002,Schweiz,17001-18000 Franken,Vollzeit (>=90%),Mann
0,2002,Schweiz,17001-18000 Franken,Vollzeit (>=90%),Frau
"""......""",2002,Schweiz,17001-18000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2002,Schweiz,17001-18000 Franken,Teilzeit (<90%),Mann
"""......""",2002,Schweiz,17001-18000 Franken,Teilzeit (<90%),Frau
0.1,2002,Schweiz,18001-19000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.2,2002,Schweiz,18001-19000 Franken,Beschäftigungsgrad - Total,Mann
0,2002,Schweiz,18001-19000 Franken,Beschäftigungsgrad - Total,Frau
0.1,2002,Schweiz,18001-19000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.2,2002,Schweiz,18001-19000 Franken,Vollzeit (>=90%),Mann
0,2002,Schweiz,18001-19000 Franken,Vollzeit (>=90%),Frau
"""......""",2002,Schweiz,18001-19000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2002,Schweiz,18001-19000 Franken,Teilzeit (<90%),Mann
"""......""",2002,Schweiz,18001-19000 Franken,Teilzeit (<90%),Frau
0.1,2002,Schweiz,19001-20000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.1,2002,Schweiz,19001-20000 Franken,Beschäftigungsgrad - Total,Mann
0,2002,Schweiz,19001-20000 Franken,Beschäftigungsgrad - Total,Frau
0.1,2002,Schweiz,19001-20000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.1,2002,Schweiz,19001-20000 Franken,Vollzeit (>=90%),Mann
0,2002,Schweiz,19001-20000 Franken,Vollzeit (>=90%),Frau
"""......""",2002,Schweiz,19001-20000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2002,Schweiz,19001-20000 Franken,Teilzeit (<90%),Mann
"""......""",2002,Schweiz,19001-20000 Franken,Teilzeit (<90%),Frau
0.5,2002,Schweiz,20001+ Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.8,2002,Schweiz,20001+ Franken,Beschäftigungsgrad - Total,Mann
0.1,2002,Schweiz,20001+ Franken,Beschäftigungsgrad - Total,Frau
0.7,2002,Schweiz,20001+ Franken,Vollzeit (>=90%),Geschlecht - Total
0.9,2002,Schweiz,20001+ Franken,Vollzeit (>=90%),Mann
0.1,2002,Schweiz,20001+ Franken,Vollzeit (>=90%),Frau
"""......""",2002,Schweiz,20001+ Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2002,Schweiz,20001+ Franken,Teilzeit (<90%),Mann
"""......""",2002,Schweiz,20001+ Franken,Teilzeit (<90%),Frau
5.2,2002,"Genferseeregion (VD, VS, GE)",0-  1000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
2.5,2002,"Genferseeregion (VD, VS, GE)",0-  1000 Franken,Beschäftigungsgrad - Total,Mann
8.7,2002,"Genferseeregion (VD, VS, GE)",0-  1000 Franken,Beschäftigungsgrad - Total,Frau
"""......""",2002,"Genferseeregion (VD, VS, GE)",0-  1000 Franken,Vollzeit (>=90%),Geschlecht - Total
"""......""",2002,"Genferseeregion (VD, VS, GE)",0-  1000 Franken,Vollzeit (>=90%),Mann
"""......""",2002,"Genferseeregion (VD, VS, GE)",0-  1000 Franken,Vollzeit (>=90%),Frau
18.3,2002,"Genferseeregion (VD, VS, GE)",0-  1000 Franken,Teilzeit (<90%),Geschlecht - Total
19.4,2002,"Genferseeregion (VD, VS, GE)",0-  1000 Franken,Teilzeit (<90%),Mann
17.9,2002,"Genferseeregion (VD, VS, GE)",0-  1000 Franken,Teilzeit (<90%),Frau
6.5,2002,"Genferseeregion (VD, VS, GE)",1001-  2000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
2.2,2002,"Genferseeregion (VD, VS, GE)",1001-  2000 Franken,Beschäftigungsgrad - Total,Mann
12,2002,"Genferseeregion (VD, VS, GE)",1001-  2000 Franken,Beschäftigungsgrad - Total,Frau
0.2,2002,"Genferseeregion (VD, VS, GE)",1001-  2000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.1,2002,"Genferseeregion (VD, VS, GE)",1001-  2000 Franken,Vollzeit (>=90%),Mann
0.4,2002,"Genferseeregion (VD, VS, GE)",1001-  2000 Franken,Vollzeit (>=90%),Frau
22.3,2002,"Genferseeregion (VD, VS, GE)",1001-  2000 Franken,Teilzeit (<90%),Geschlecht - Total
16.2,2002,"Genferseeregion (VD, VS, GE)",1001-  2000 Franken,Teilzeit (<90%),Mann
24.3,2002,"Genferseeregion (VD, VS, GE)",1001-  2000 Franken,Teilzeit (<90%),Frau
10.9,2002,"Genferseeregion (VD, VS, GE)",2001-  3000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
4.9,2002,"Genferseeregion (VD, VS, GE)",2001-  3000 Franken,Beschäftigungsgrad - Total,Mann
18.6,2002,"Genferseeregion (VD, VS, GE)",2001-  3000 Franken,Beschäftigungsgrad - Total,Frau
5.7,2002,"Genferseeregion (VD, VS, GE)",2001-  3000 Franken,Vollzeit (>=90%),Geschlecht - Total
3.1,2002,"Genferseeregion (VD, VS, GE)",2001-  3000 Franken,Vollzeit (>=90%),Mann
11.3,2002,"Genferseeregion (VD, VS, GE)",2001-  3000 Franken,Vollzeit (>=90%),Frau
23.9,2002,"Genferseeregion (VD, VS, GE)",2001-  3000 Franken,Teilzeit (<90%),Geschlecht - Total
17.2,2002,"Genferseeregion (VD, VS, GE)",2001-  3000 Franken,Teilzeit (<90%),Mann
26.2,2002,"Genferseeregion (VD, VS, GE)",2001-  3000 Franken,Teilzeit (<90%),Frau
18.3,2002,"Genferseeregion (VD, VS, GE)",3001-  4000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
14.6,2002,"Genferseeregion (VD, VS, GE)",3001-  4000 Franken,Beschäftigungsgrad - Total,Mann
22.9,2002,"Genferseeregion (VD, VS, GE)",3001-  4000 Franken,Beschäftigungsgrad - Total,Frau
18.7,2002,"Genferseeregion (VD, VS, GE)",3001-  4000 Franken,Vollzeit (>=90%),Geschlecht - Total
13.9,2002,"Genferseeregion (VD, VS, GE)",3001-  4000 Franken,Vollzeit (>=90%),Mann
28.8,2002,"Genferseeregion (VD, VS, GE)",3001-  4000 Franken,Vollzeit (>=90%),Frau
17.3,2002,"Genferseeregion (VD, VS, GE)",3001-  4000 Franken,Teilzeit (<90%),Geschlecht - Total
19.4,2002,"Genferseeregion (VD, VS, GE)",3001-  4000 Franken,Teilzeit (<90%),Mann
16.6,2002,"Genferseeregion (VD, VS, GE)",3001-  4000 Franken,Teilzeit (<90%),Frau
20.6,2002,"Genferseeregion (VD, VS, GE)",4001-  5000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
24.3,2002,"Genferseeregion (VD, VS, GE)",4001-  5000 Franken,Beschäftigungsgrad - Total,Mann
15.8,2002,"Genferseeregion (VD, VS, GE)",4001-  5000 Franken,Beschäftigungsgrad - Total,Frau
24.6,2002,"Genferseeregion (VD, VS, GE)",4001-  5000 Franken,Vollzeit (>=90%),Geschlecht - Total
25.4,2002,"Genferseeregion (VD, VS, GE)",4001-  5000 Franken,Vollzeit (>=90%),Mann
22.8,2002,"Genferseeregion (VD, VS, GE)",4001-  5000 Franken,Vollzeit (>=90%),Frau
10.7,2002,"Genferseeregion (VD, VS, GE)",4001-  5000 Franken,Teilzeit (<90%),Geschlecht - Total
17.2,2002,"Genferseeregion (VD, VS, GE)",4001-  5000 Franken,Teilzeit (<90%),Mann
8.5,2002,"Genferseeregion (VD, VS, GE)",4001-  5000 Franken,Teilzeit (<90%),Frau
14.3,2002,"Genferseeregion (VD, VS, GE)",5001-  6000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
18,2002,"Genferseeregion (VD, VS, GE)",5001-  6000 Franken,Beschäftigungsgrad - Total,Mann
9.6,2002,"Genferseeregion (VD, VS, GE)",5001-  6000 Franken,Beschäftigungsgrad - Total,Frau
18.3,2002,"Genferseeregion (VD, VS, GE)",5001-  6000 Franken,Vollzeit (>=90%),Geschlecht - Total
19.8,2002,"Genferseeregion (VD, VS, GE)",5001-  6000 Franken,Vollzeit (>=90%),Mann
15,2002,"Genferseeregion (VD, VS, GE)",5001-  6000 Franken,Vollzeit (>=90%),Frau
4.4,2002,"Genferseeregion (VD, VS, GE)",5001-  6000 Franken,Teilzeit (<90%),Geschlecht - Total
5.9,2002,"Genferseeregion (VD, VS, GE)",5001-  6000 Franken,Teilzeit (<90%),Mann
4,2002,"Genferseeregion (VD, VS, GE)",5001-  6000 Franken,Teilzeit (<90%),Frau
8.1,2002,"Genferseeregion (VD, VS, GE)",6001-  7000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
10.5,2002,"Genferseeregion (VD, VS, GE)",6001-  7000 Franken,Beschäftigungsgrad - Total,Mann
5.1,2002,"Genferseeregion (VD, VS, GE)",6001-  7000 Franken,Beschäftigungsgrad - Total,Frau
10.8,2002,"Genferseeregion (VD, VS, GE)",6001-  7000 Franken,Vollzeit (>=90%),Geschlecht - Total
11.8,2002,"Genferseeregion (VD, VS, GE)",6001-  7000 Franken,Vollzeit (>=90%),Mann
8.7,2002,"Genferseeregion (VD, VS, GE)",6001-  7000 Franken,Vollzeit (>=90%),Frau
1.4,2002,"Genferseeregion (VD, VS, GE)",6001-  7000 Franken,Teilzeit (<90%),Geschlecht - Total
2.1,2002,"Genferseeregion (VD, VS, GE)",6001-  7000 Franken,Teilzeit (<90%),Mann
1.2,2002,"Genferseeregion (VD, VS, GE)",6001-  7000 Franken,Teilzeit (<90%),Frau
4.9,2002,"Genferseeregion (VD, VS, GE)",7001-  8000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
6.5,2002,"Genferseeregion (VD, VS, GE)",7001-  8000 Franken,Beschäftigungsgrad - Total,Mann
2.8,2002,"Genferseeregion (VD, VS, GE)",7001-  8000 Franken,Beschäftigungsgrad - Total,Frau
6.6,2002,"Genferseeregion (VD, VS, GE)",7001-  8000 Franken,Vollzeit (>=90%),Geschlecht - Total
7.3,2002,"Genferseeregion (VD, VS, GE)",7001-  8000 Franken,Vollzeit (>=90%),Mann
5.1,2002,"Genferseeregion (VD, VS, GE)",7001-  8000 Franken,Vollzeit (>=90%),Frau
0.5,2002,"Genferseeregion (VD, VS, GE)",7001-  8000 Franken,Teilzeit (<90%),Geschlecht - Total
0.7,2002,"Genferseeregion (VD, VS, GE)",7001-  8000 Franken,Teilzeit (<90%),Mann
0.4,2002,"Genferseeregion (VD, VS, GE)",7001-  8000 Franken,Teilzeit (<90%),Frau
2.9,2002,"Genferseeregion (VD, VS, GE)",8001-  9000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
4,2002,"Genferseeregion (VD, VS, GE)",8001-  9000 Franken,Beschäftigungsgrad - Total,Mann
1.4,2002,"Genferseeregion (VD, VS, GE)",8001-  9000 Franken,Beschäftigungsgrad - Total,Frau
3.9,2002,"Genferseeregion (VD, VS, GE)",8001-  9000 Franken,Vollzeit (>=90%),Geschlecht - Total
4.5,2002,"Genferseeregion (VD, VS, GE)",8001-  9000 Franken,Vollzeit (>=90%),Mann
2.6,2002,"Genferseeregion (VD, VS, GE)",8001-  9000 Franken,Vollzeit (>=90%),Frau
0.3,2002,"Genferseeregion (VD, VS, GE)",8001-  9000 Franken,Teilzeit (<90%),Geschlecht - Total
0.5,2002,"Genferseeregion (VD, VS, GE)",8001-  9000 Franken,Teilzeit (<90%),Mann
0.2,2002,"Genferseeregion (VD, VS, GE)",8001-  9000 Franken,Teilzeit (<90%),Frau
1.9,2002,"Genferseeregion (VD, VS, GE)",9001-10000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
2.8,2002,"Genferseeregion (VD, VS, GE)",9001-10000 Franken,Beschäftigungsgrad - Total,Mann
0.8,2002,"Genferseeregion (VD, VS, GE)",9001-10000 Franken,Beschäftigungsgrad - Total,Frau
2.7,2002,"Genferseeregion (VD, VS, GE)",9001-10000 Franken,Vollzeit (>=90%),Geschlecht - Total
3.2,2002,"Genferseeregion (VD, VS, GE)",9001-10000 Franken,Vollzeit (>=90%),Mann
1.5,2002,"Genferseeregion (VD, VS, GE)",9001-10000 Franken,Vollzeit (>=90%),Frau
0.1,2002,"Genferseeregion (VD, VS, GE)",9001-10000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2002,"Genferseeregion (VD, VS, GE)",9001-10000 Franken,Teilzeit (<90%),Mann
"""......""",2002,"Genferseeregion (VD, VS, GE)",9001-10000 Franken,Teilzeit (<90%),Frau
1.3,2002,"Genferseeregion (VD, VS, GE)",10001-11000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
1.9,2002,"Genferseeregion (VD, VS, GE)",10001-11000 Franken,Beschäftigungsgrad - Total,Mann
0.4,2002,"Genferseeregion (VD, VS, GE)",10001-11000 Franken,Beschäftigungsgrad - Total,Frau
1.8,2002,"Genferseeregion (VD, VS, GE)",10001-11000 Franken,Vollzeit (>=90%),Geschlecht - Total
2.2,2002,"Genferseeregion (VD, VS, GE)",10001-11000 Franken,Vollzeit (>=90%),Mann
0.8,2002,"Genferseeregion (VD, VS, GE)",10001-11000 Franken,Vollzeit (>=90%),Frau
"""......""",2002,"Genferseeregion (VD, VS, GE)",10001-11000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2002,"Genferseeregion (VD, VS, GE)",10001-11000 Franken,Teilzeit (<90%),Mann
"""......""",2002,"Genferseeregion (VD, VS, GE)",10001-11000 Franken,Teilzeit (<90%),Frau
0.9,2002,"Genferseeregion (VD, VS, GE)",11001-12000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
1.4,2002,"Genferseeregion (VD, VS, GE)",11001-12000 Franken,Beschäftigungsgrad - Total,Mann
0.3,2002,"Genferseeregion (VD, VS, GE)",11001-12000 Franken,Beschäftigungsgrad - Total,Frau
1.3,2002,"Genferseeregion (VD, VS, GE)",11001-12000 Franken,Vollzeit (>=90%),Geschlecht - Total
1.6,2002,"Genferseeregion (VD, VS, GE)",11001-12000 Franken,Vollzeit (>=90%),Mann
0.5,2002,"Genferseeregion (VD, VS, GE)",11001-12000 Franken,Vollzeit (>=90%),Frau
"""......""",2002,"Genferseeregion (VD, VS, GE)",11001-12000 Franken,Teilzeit (<90%),Geschlecht - Total
"""......""",2002,"Genferseeregion (VD, VS, GE)",11001-12000 Franken,Teilzeit (<90%),Mann
"""......""",2002,"Genferseeregion (VD, VS, GE)",11001-12000 Franken,Teilzeit (<90%),Frau
